step	log_std_min	log_std_mean	log_std_max	std_min	std_mean	std_max	entropy_loss	learning_rate	tensorboard_std_mean
120	-2.000096	-1.998160	-1.996012	0.135322	0.135585	0.135876	0.05213476922363043	2.6337448559670777e-05	0.1355840563774109
240	-2.000311	-1.997881	-1.994600	0.135293	0.135622	0.136068	0.05210594926029444	2.6337448559670777e-05	0.13562238216400146
360	-2.000508	-1.997558	-1.993991	0.135267	0.135666	0.136151	0.052083780989050865	3.9506172839506166e-05	0.1356649249792099
480	-2.000049	-1.996807	-1.992618	0.135329	0.135768	0.136338	0.052010229974985125	3.9506172839506166e-05	0.13576871156692505
600	-2.000276	-1.996459	-1.991417	0.135298	0.135816	0.136502	0.051975129172205925	2.6337448559670777e-05	0.13581588864326477
720	-2.001229	-1.995965	-1.990708	0.135169	0.135883	0.136599	0.0519402040168643	2.6337448559670777e-05	0.13588197529315948
840	-2.002194	-1.995695	-1.989282	0.135039	0.135920	0.136794	0.0519102806225419	2.6337448559670777e-05	0.13591943681240082
960	-2.003101	-1.995297	-1.988449	0.134916	0.135974	0.136908	0.05187513306736946	3.9506172839506166e-05	0.13597354292869568
1080	-2.003801	-1.994927	-1.988391	0.134822	0.136025	0.136916	0.05184379871934652	2.6337448559670777e-05	0.13602373003959656
1200	-2.005147	-1.994647	-1.988879	0.134641	0.136063	0.136849	0.05181274022907019	3.9506172839506166e-05	0.1360626071691513
1320	-2.005593	-1.994540	-1.987511	0.134580	0.136078	0.137036	0.051807491667568685	3.9506172839506166e-05	0.136077418923378
1440	-2.006673	-1.994097	-1.987746	0.134435	0.136138	0.137004	0.051768725737929344	3.9506172839506166e-05	0.13613757491111755
1560	-2.008578	-1.994143	-1.987222	0.134179	0.136132	0.137076	0.05177010670304298	3.9506172839506166e-05	0.13613195717334747
1680	-2.010445	-1.993965	-1.985556	0.133929	0.136157	0.137304	0.051752335578203204	5.925925925925925e-05	0.1361573040485382
1800	-2.012689	-1.994280	-1.984574	0.133629	0.136115	0.137439	0.05178180020302534	3.9506172839506166e-05	0.13611486554145813
1920	-2.014419	-1.994195	-1.983255	0.133398	0.136128	0.137621	0.051773549616336824	5.925925925925925e-05	0.13612763583660126
2040	-2.014427	-1.994007	-1.981791	0.133397	0.136154	0.137822	0.051756713539361954	5.925925925925925e-05	0.1361534595489502
2160	-2.018038	-1.994151	-1.981328	0.132916	0.136135	0.137886	0.05176742784678936	5.925925925925925e-05	0.1361359804868698
2280	-2.020614	-1.994244	-1.981301	0.132574	0.136124	0.137890	0.05177410878241062	3.9506172839506166e-05	0.13612507283687592
2400	-2.023268	-1.994615	-1.979854	0.132223	0.136075	0.138089	0.05180330686271191	5.925925925925925e-05	0.13607573509216309
2520	-2.025608	-1.995089	-1.979359	0.131914	0.136012	0.138158	0.05185162853449583	3.9506172839506166e-05	0.13601233065128326
2640	-2.026271	-1.995025	-1.979329	0.131826	0.136022	0.138162	0.051851412281394005	5.925925925925925e-05	0.13602173328399658
2760	-2.027661	-1.995290	-1.978352	0.131643	0.135989	0.138297	0.05187028311192989	3.9506172839506166e-05	0.13598859310150146
2880	-2.029727	-1.995562	-1.975169	0.131371	0.135954	0.138738	0.051896379329264164	5.925925925925925e-05	0.1359536051750183
3000	-2.033066	-1.995368	-1.974065	0.130933	0.135982	0.138891	0.051883223839104174	3.9506172839506166e-05	0.1359809935092926
3120	-2.035126	-1.995475	-1.973314	0.130664	0.135969	0.138995	0.05188527032732963	5.925925925925925e-05	0.1359689086675644
3240	-2.037926	-1.995903	-1.973742	0.130299	0.135913	0.138936	0.05192665345966816	3.9506172839506166e-05	0.13591240346431732
3360	-2.039170	-1.995485	-1.974107	0.130137	0.135971	0.138885	0.05188918709754944	3.9506172839506166e-05	0.13597117364406586
3480	-2.040720	-1.995433	-1.973981	0.129935	0.135980	0.138903	0.05188774075359106	5.925925925925925e-05	0.1359790861606598
3600	-2.041526	-1.995086	-1.973151	0.129830	0.136029	0.139018	0.05186270382255316	5.925925925925925e-05	0.13602720201015472
