step	log_std_min	log_std_mean	log_std_max	std_min	std_mean	std_max	entropy_loss	learning_rate	tensorboard_std_mean
120	-2.000696	-1.998014	-1.996212	0.135241	0.135604	0.135849	0.05211834628134966	2.6337448559670777e-05	0.13560427725315094
240	-2.000351	-1.996947	-1.993909	0.135288	0.135749	0.136162	0.052029285579919815	2.6337448559670777e-05	0.13574819266796112
360	-2.000468	-1.996429	-1.993361	0.135272	0.135820	0.136237	0.05197758078575134	2.6337448559670777e-05	0.1358192265033722
480	-2.000149	-1.995843	-1.992861	0.135315	0.135899	0.136305	0.05192291997373104	2.6337448559670777e-05	0.13589902222156525
600	-1.999874	-1.995106	-1.992224	0.135352	0.136000	0.136392	0.05185876004397869	2.6337448559670777e-05	0.13599924743175507
720	-1.999262	-1.994492	-1.990767	0.135435	0.136083	0.136591	0.0518080560490489	3.9506172839506166e-05	0.13608203828334808
840	-1.999241	-1.994175	-1.989584	0.135438	0.136126	0.136752	0.05177860129624605	3.9506172839506166e-05	0.13612546026706696
960	-1.999282	-1.993726	-1.988936	0.135432	0.136188	0.136841	0.05172534566372633	2.6337448559670777e-05	0.13618825376033783
1080	-1.997760	-1.993220	-1.988368	0.135639	0.136257	0.136919	0.051692689023911956	2.6337448559670777e-05	0.13625572621822357
1200	-1.996814	-1.992561	-1.986831	0.135767	0.136346	0.137129	0.051630667969584466	3.9506172839506166e-05	0.13634571433067322
1320	-1.997753	-1.992291	-1.986586	0.135640	0.136383	0.137163	0.05161184351891279	3.9506172839506166e-05	0.13638129830360413
1440	-1.996934	-1.991526	-1.986252	0.135751	0.136488	0.137209	0.05153257679194212	2.6337448559670777e-05	0.13648740947246552
1560	-1.997567	-1.991093	-1.986165	0.135665	0.136547	0.137221	0.05150740947574377	2.6337448559670777e-05	0.13654497265815735
1680	-1.996828	-1.990514	-1.986077	0.135765	0.136626	0.137233	0.051451573893427846	3.9506172839506166e-05	0.13662397861480713
1800	-1.995803	-1.989826	-1.984934	0.135905	0.136720	0.137390	0.051382746547460556	3.9506172839506166e-05	0.13671952486038208
1920	-1.996937	-1.989121	-1.983887	0.135750	0.136816	0.137534	0.051323662512004375	2.6337448559670777e-05	0.13681532442569733
2040	-1.997342	-1.988544	-1.982285	0.135695	0.136896	0.137754	0.05127545855939388	2.6337448559670777e-05	0.1368943154811859
2160	-1.998113	-1.987801	-1.981410	0.135591	0.136997	0.137875	0.051198414713144305	3.9506172839506166e-05	0.13699720799922943
2280	-1.998562	-1.987292	-1.980953	0.135530	0.137067	0.137938	0.05115157179534435	2.6337448559670777e-05	0.13706719875335693
2400	-1.998419	-1.986856	-1.979778	0.135549	0.137127	0.138100	0.05111495051532984	2.6337448559670777e-05	0.1371271312236786
2520	-1.998886	-1.986389	-1.979396	0.135486	0.137192	0.138153	0.05107605941593647	3.9506172839506166e-05	0.1371907889842987
2640	-1.998252	-1.986027	-1.978263	0.135572	0.137241	0.138309	0.05103802513331175	3.9506172839506166e-05	0.13724158704280853
2760	-1.996705	-1.985608	-1.976595	0.135782	0.137299	0.138540	0.05100849568843842	3.9506172839506166e-05	0.13729757070541382
2880	-1.996255	-1.985350	-1.976364	0.135843	0.137335	0.138572	0.05097397696226835	3.9506172839506166e-05	0.13733504712581635
3000	-1.996686	-1.985166	-1.975635	0.135785	0.137360	0.138673	0.05096409134566784	3.9506172839506166e-05	0.1373596042394638
3120	-1.996980	-1.984849	-1.975787	0.135745	0.137404	0.138652	0.0509366886690259	3.9506172839506166e-05	0.13740287721157074
3240	-1.996134	-1.984840	-1.975562	0.135860	0.137405	0.138683	0.05092788431793451	3.9506172839506166e-05	0.13740551471710205
3360	-1.994997	-1.984742	-1.975286	0.136014	0.137419	0.138722	0.05091714300215244	3.9506172839506166e-05	0.13741932809352875
3480	-1.994361	-1.984277	-1.974941	0.136101	0.137483	0.138769	0.050887157395482066	5.925925925925925e-05	0.1374816596508026
3600	-1.994879	-1.984351	-1.974484	0.136030	0.137473	0.138833	0.05088935736566782	5.925925925925925e-05	0.13747207820415497
3720	-1.996644	-1.984132	-1.972659	0.135790	0.137503	0.139087	0.05087178014218807	3.9506172839506166e-05	0.13750262558460236
3840	-1.997419	-1.983968	-1.971828	0.135685	0.137526	0.139202	0.05085182245820761	3.9506172839506166e-05	0.13752640783786774
3960	-1.999336	-1.984240	-1.971743	0.135425	0.137490	0.139214	0.050872852094471455	5.925925925925925e-05	0.13749021291732788
4080	-2.001967	-1.984503	-1.971632	0.135069	0.137454	0.139229	0.05090106464922428	3.9506172839506166e-05	0.1374543309211731
4200	-2.004417	-1.984443	-1.969716	0.134739	0.137463	0.139497	0.05089625846594572	3.9506172839506166e-05	0.13746307790279388
4320	-2.007003	-1.984300	-1.969402	0.134391	0.137484	0.139540	0.050879736244678495	3.9506172839506166e-05	0.1374843567609787
4440	-2.010492	-1.984199	-1.970546	0.133923	0.137499	0.139381	0.050870444253087045	5.925925925925925e-05	0.13749979436397552
4560	-2.012867	-1.983879	-1.967717	0.133605	0.137545	0.139776	0.05084412749856711	3.9506172839506166e-05	0.13754498958587646
4680	-2.015888	-1.984164	-1.966665	0.133202	0.137507	0.139923	0.050866165570914744	5.925925925925925e-05	0.13750772178173065
4800	-2.019037	-1.984015	-1.966675	0.132783	0.137529	0.139921	0.05086374953389168	3.9506172839506166e-05	0.13752776384353638
4920	-2.021608	-1.983579	-1.966257	0.132442	0.137591	0.139980	0.05082214064896107	3.9506172839506166e-05	0.13759064674377441
5040	-2.024176	-1.983474	-1.964212	0.132103	0.137608	0.140266	0.05080296006053686	5.925925925925925e-05	0.13760830461978912
5160	-2.026090	-1.983519	-1.964387	0.131850	0.137603	0.140242	0.05081462357193232	5.925925925925925e-05	0.13760241866111755
5280	-2.026727	-1.983274	-1.964079	0.131766	0.137638	0.140285	0.05079374667257071	3.9506172839506166e-05	0.13763700425624847
5400	-2.029797	-1.983492	-1.964338	0.131362	0.137610	0.140249	0.05079599283635616	3.9506172839506166e-05	0.13761141896247864
5520	-2.031324	-1.983741	-1.965593	0.131162	0.137577	0.140073	0.05083338264375925	5.925925925925925e-05	0.13757647573947906
5640	-2.034553	-1.983961	-1.964945	0.130739	0.137549	0.140164	0.05085177104920149	5.925925925925925e-05	0.13754919171333313
5760	-2.037315	-1.984244	-1.964259	0.130378	0.137513	0.140260	0.050871656835079195	3.9506172839506166e-05	0.13751362264156342
5880	-2.039692	-1.984340	-1.962815	0.130069	0.137503	0.140462	0.05088434331119061	5.925925925925925e-05	0.13750360906124115
6000	-2.043326	-1.984930	-1.962453	0.129597	0.137426	0.140513	0.05094157811254263	3.9506172839506166e-05	0.13742540776729584
6120	-2.045311	-1.985057	-1.962157	0.129340	0.137411	0.140555	0.05094840861856938	5.925925925925925e-05	0.13741135597229004
6240	-2.048245	-1.985574	-1.959920	0.128961	0.137343	0.140870	0.05099912621080875	5.925925925925925e-05	0.1373424381017685
6360	-2.050963	-1.986045	-1.960332	0.128611	0.137282	0.140812	0.05103728342801332	5.925925925925925e-05	0.1372818946838379
6480	-2.052621	-1.985719	-1.958060	0.128398	0.137330	0.141132	0.05101204942911863	3.9506172839506166e-05	0.13732962310314178
6600	-2.057746	-1.986222	-1.959406	0.127742	0.137266	0.140942	0.05105136539787054	5.925925925925925e-05	0.137266606092453
6720	-2.061871	-1.986131	-1.958935	0.127216	0.137283	0.141009	0.051047544181346896	3.9506172839506166e-05	0.1372828632593155
6840	-2.065327	-1.986257	-1.956442	0.126777	0.137270	0.141361	0.051060544326901436	5.925925925925925e-05	0.137269526720047
6960	-2.067927	-1.986835	-1.955103	0.126448	0.137194	0.141550	0.05110811237245798	3.9506172839506166e-05	0.13719402253627777
7080	-2.070911	-1.986803	-1.954806	0.126071	0.137203	0.141592	0.05110169015824795	5.925925925925925e-05	0.1372039020061493
7200	-2.073483	-1.987002	-1.953201	0.125747	0.137181	0.141819	0.051122027635574344	3.9506172839506166e-05	0.13718172907829285
7320	-2.074319	-1.987184	-1.950322	0.125642	0.137159	0.142228	0.05114415101706982	3.9506172839506166e-05	0.13715796172618866
7440	-2.079005	-1.987528	-1.948235	0.125055	0.137116	0.142525	0.05117316897958517	5.925925925925925e-05	0.1371159702539444
7560	-2.081885	-1.987530	-1.946426	0.124695	0.137119	0.142783	0.05117097720503807	3.9506172839506166e-05	0.13711963593959808
7680	-2.084727	-1.987318	-1.945385	0.124341	0.137152	0.142932	0.05116098709404469	5.925925925925925e-05	0.13715022802352905
7800	-2.087015	-1.987579	-1.944476	0.124057	0.137120	0.143062	0.05117496252059937	5.925925925925925e-05	0.13712039589881897
7920	-2.090730	-1.987163	-1.942000	0.123597	0.137183	0.143417	0.051148601435124876	5.925925925925925e-05	0.13718141615390778
8040	-2.092977	-1.987231	-1.941809	0.123319	0.137179	0.143444	0.05114138964563608	5.925925925925925e-05	0.1371799260377884
8160	-2.095974	-1.987375	-1.942651	0.122950	0.137165	0.143323	0.051154971867799756	3.9506172839506166e-05	0.13716597855091095
8280	-2.098465	-1.987919	-1.941653	0.122644	0.137095	0.143467	0.05120329856872559	5.925925925925925e-05	0.1370958387851715
8400	-2.102043	-1.988212	-1.941265	0.122207	0.137060	0.143522	0.05123199094086885	5.925925925925925e-05	0.1370604932308197
