[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.09246624261140823, -0.042534422129392624, -0.26438459753990173, 0.01451838668435812, -0.012086640112102032, -0.05797257646918297, -1.2622851133346558, -1.232838749885559, -1.307454228401184, -1.2363144159317017, -1.3671051263809204, -0.9734495878219604, -0.9688315391540527, -1.0184189081192017, -0.8713357448577881, -0.8818047046661377, -1.01270592212677, -0.8783109188079834] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1702
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7447044253349304, 0.7483476996421814, -0.07952243089675903, 0.3411751985549927, 0.7214745879173279, -0.7746539115905762, -0.6689785122871399, -1.2177034616470337, -1.5299135446548462, -0.6543256044387817, -0.8774480223655701, -1.5131120681762695, -1.0313100814819336, -1.2924221754074097, -1.477736473083496, -0.9619178771972656, -1.1851119995117188, -1.5322388410568237] lin_vel_b=[0.04223863407969475, -0.0010898355394601822, 0.03936509042978287] ang_vel_b=[0.037079811096191406, 0.008524684235453606, 0.0818428173661232] mean_base_height=0.1133
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7116992473602295, 0.7451980113983154, -0.5487410426139832, -0.7068907022476196, -0.17522644996643066, -0.7668491005897522, -0.6987634301185608, -1.3743728399276733, -1.5163841247558594, -0.6947523951530457, -0.7886456847190857, -1.4612162113189697, -1.0616949796676636, -1.4583568572998047, -1.529657244682312, -1.011330246925354, -1.2702362537384033, -1.4916045665740967] lin_vel_b=[0.031554363667964935, 0.03250682353973389, -0.07118317484855652] ang_vel_b=[0.21092213690280914, -0.08555793762207031, -0.0965847373008728] mean_base_height=0.1128
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.1315620243549347, 0.5245634913444519, -0.5883451104164124, -0.12191750854253769, 0.1277094930410385, 0.47705358266830444, -0.6487947702407837, -1.1509846448898315, -1.3128166198730469, -0.7864332795143127, -1.0043612718582153, -1.5526833534240723, -1.071677565574646, -1.2830395698547363, -1.3786344528198242, -1.0211222171783447, -1.3788374662399292, -1.5501080751419067] lin_vel_b=[0.11185140907764435, -0.02543458342552185, -0.05850759148597717] ang_vel_b=[0.032720357179641724, -0.18268823623657227, 0.018109723925590515] mean_base_height=0.1111
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.6492096185684204, 0.5938399434089661, -0.48967233300209045, -0.506776750087738, 0.2594602704048157, 0.6875646710395813, -0.5293180346488953, -0.9969481229782104, -1.339328408241272, -0.7953553795814514, -1.140199899673462, -1.56737220287323, -1.0295679569244385, -1.0411311388015747, -1.4128775596618652, -1.1153314113616943, -1.4558749198913574, -1.425337553024292] lin_vel_b=[0.09173272550106049, 0.030730411410331726, -0.02270893007516861] ang_vel_b=[0.27282604575157166, -0.20677228271961212, -0.03828969597816467] mean_base_height=0.1131
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.6287306547164917, 0.6357342600822449, -0.310192346572876, -0.5731324553489685, 0.029278570786118507, 0.6694290041923523, -0.5409161448478699, -0.9451003074645996, -1.334442138671875, -0.7450319528579712, -1.0860077142715454, -1.2752904891967773, -0.8464128375053406, -1.0140516757965088, -1.4600393772125244, -0.9639028906822205, -1.3322781324386597, -1.0992441177368164] lin_vel_b=[0.0765518844127655, 0.01803283765912056, 0.023014536127448082] ang_vel_b=[0.07179027050733566, -0.01872098445892334, -0.01482161320745945] mean_base_height=0.1167
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5973591804504395, 0.5762487649917603, -0.32653066515922546, -0.4155970513820648, 0.6150860786437988, 0.027837589383125305, -0.5220182538032532, -0.9575694799423218, -1.404890775680542, -0.5825780034065247, -0.8087294697761536, -0.9728119969367981, -0.72453373670578, -1.0637410879135132, -1.38953697681427, -0.8191656470298767, -1.104459285736084, -0.510979413986206] lin_vel_b=[0.08920768648386002, -0.0044704824686050415, 0.027428975328803062] ang_vel_b=[-0.02945227548480034, 0.04915473982691765, 0.014017066918313503] mean_base_height=0.1185
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.6193559169769287, 0.6202247142791748, -0.15385809540748596, -0.6034125089645386, 0.45669829845428467, -0.09130686521530151, -0.7216904163360596, -1.1235791444778442, -1.259888768196106, -0.6839330196380615, -0.7073312401771545, -0.889798104763031, -1.0624357461929321, -1.2442048788070679, -1.3508106470108032, -0.9444809556007385, -1.181681513786316, -0.5850830674171448] lin_vel_b=[0.06213410943746567, 0.05016859620809555, 0.08520116657018661] ang_vel_b=[-0.006357509642839432, 0.24750909209251404, -0.13794106245040894] mean_base_height=0.1179
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.3672736585140228, 0.5533154010772705, -0.46692830324172974, -0.5619230270385742, 0.27546268701553345, -0.24121630191802979, -0.7184069156646729, -1.0953086614608765, -1.3960962295532227, -0.6550676226615906, -0.7849708795547485, -0.8015894293785095, -1.0691479444503784, -1.1636751890182495, -1.2970129251480103, -0.8591852188110352, -1.1393672227859497, -0.38948631286621094] lin_vel_b=[0.1105765700340271, -0.012510038912296295, -0.042805712670087814] ang_vel_b=[-0.20905159413814545, 0.03670181334018707, -0.027956781908869743] mean_base_height=0.1183
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.6322872042655945, 0.4967925548553467, -0.5364676713943481, -0.4872779846191406, 0.15473248064517975, -0.3026154637336731, -0.6635864973068237, -1.0341689586639404, -1.21219801902771, -0.6029412746429443, -0.7808611989021301, -0.8707725405693054, -1.0270947217941284, -1.191588282585144, -1.2921092510223389, -0.9173426628112793, -1.1327853202819824, -0.4941716194152832] lin_vel_b=[0.10765794664621353, -0.03923569619655609, -0.009491175413131714] ang_vel_b=[-0.12939316034317017, -0.1405302882194519, -0.019460037350654602] mean_base_height=0.1199
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.7566935420036316, 0.4793163537979126, -0.2918679118156433, -0.5999186635017395, -0.06347343325614929, -0.16488471627235413, -0.682522714138031, -0.9626132249832153, -1.1571459770202637, -0.6405605673789978, -0.8211778998374939, -0.9150457978248596, -0.9707671403884888, -1.1691428422927856, -1.29679536819458, -1.0031594038009644, -1.148162603378296, -0.6286730170249939] lin_vel_b=[0.10358058661222458, 0.016842834651470184, 0.01357303000986576] ang_vel_b=[-0.1872396320104599, -0.1314581036567688, -0.004584264010190964] mean_base_height=0.1205
[JOINT_STATE step=550000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.7541274428367615, 0.561708390712738, -0.31178587675094604, -0.5544464588165283, 0.03701622039079666, -0.3076690137386322, -0.7115007042884827, -0.9955966472625732, -1.4489352703094482, -0.6695842742919922, -0.8151379823684692, -1.1305873394012451, -1.039223551750183, -1.1858421564102173, -1.3328795433044434, -0.9004411101341248, -1.3299940824508667, -0.8457616567611694] lin_vel_b=[0.09919632226228714, 0.02503572404384613, 0.020167773589491844] ang_vel_b=[0.22487621009349823, -0.033020421862602234, 0.09428397566080093] mean_base_height=0.1187
[JOINT_STATE step=600000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.7547028064727783, 0.5911559462547302, -0.25599730014801025, -0.5944675207138062, 0.06895648688077927, -0.3809942603111267, -0.6733924150466919, -1.039090871810913, -1.2915877103805542, -0.6691131591796875, -0.8522903323173523, -1.0405477285385132, -1.0031750202178955, -1.2309292554855347, -1.3520175218582153, -0.8777817487716675, -1.2028300762176514, -0.7052443623542786] lin_vel_b=[0.11613234877586365, 0.02810482680797577, 0.06009408086538315] ang_vel_b=[0.2205258011817932, 0.005507335066795349, 0.12097495049238205] mean_base_height=0.1188
[JOINT_STATE step=1000000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.2544097304344177, -0.07163488864898682, -0.04933689162135124, 0.012671055272221565, 0.010135657154023647, -0.04035325348377228, -1.109774112701416, -1.1190071105957031, -1.2688379287719727, -1.186275601387024, -1.0962260961532593, -1.19074547290802, -1.0375182628631592, -1.0090817213058472, -0.7936093807220459, -1.1816376447677612, -1.0271880626678467, -0.9718873500823975] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1652
