[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.01808258332312107, -0.05522627755999565, 0.09238133579492569, -0.07349704951047897, 0.13799946010112762, 0.08676306903362274, -1.1870344877243042, -1.2940640449523926, -1.1189091205596924, -1.1117949485778809, -1.301326036453247, -1.236336350440979, -0.9489919543266296, -0.9582145810127258, -1.0688769817352295, -1.0134663581848145, -1.031126856803894, -0.8208362460136414] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1705
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.49819880723953247, -0.44348204135894775, 0.0950494259595871, 0.49687448143959045, 0.1501007080078125, 0.4311159551143646, -0.9332508444786072, -0.8099859952926636, -0.9209663271903992, -1.021674633026123, -0.8955471515655518, -0.9413589239120483, -0.855215311050415, -0.6344881653785706, -1.0580419301986694, -1.0037330389022827, -0.8010447025299072, -1.0446383953094482] lin_vel_b=[0.015774421393871307, -0.004986423999071121, 0.01800408586859703] ang_vel_b=[-0.05592028424143791, -0.03138081729412079, 0.06190909817814827] mean_base_height=0.1140
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.41695019602775574, -0.4266524314880371, 0.41996535658836365, 0.3408764600753784, 0.2469591349363327, 0.40338805317878723, -0.9871751666069031, -0.7279402017593384, -0.9625097513198853, -1.0040489435195923, -0.9049839973449707, -0.8871368169784546, -0.9539886713027954, -1.3465301990509033, -1.0811233520507812, -1.137641191482544, -0.9263887405395508, -0.928600549697876] lin_vel_b=[0.011433571577072144, -0.002881762105971575, 0.020781027153134346] ang_vel_b=[-0.05109759420156479, -0.015351662412285805, -0.2179747372865677] mean_base_height=0.1139
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.4995476007461548, -0.49537375569343567, 0.5017381906509399, 0.5143934488296509, 0.46946945786476135, 0.4958042502403259, -0.8103727698326111, -0.7741069793701172, -0.9801051020622253, -0.9594079852104187, -1.0198440551757812, -0.7361458539962769, -0.8537139296531677, -1.2161747217178345, -1.1586894989013672, -1.2451460361480713, -0.9811148643493652, -0.3872098922729492] lin_vel_b=[0.0017795223975554109, -0.00048336328472942114, 0.018085723742842674] ang_vel_b=[-0.003931510727852583, -0.00035383220529183745, -0.0016524068778380752] mean_base_height=0.1154
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5104539394378662, -0.4986394941806793, 0.503446102142334, -0.4886106550693512, 0.5079383850097656, 0.500784158706665, -1.0623778104782104, -0.6577752828598022, -0.9389461278915405, -0.7201608419418335, -1.0886136293411255, -0.6824404001235962, -0.8415279984474182, -1.4098337888717651, -1.1594444513320923, -1.4546427726745605, -1.1847707033157349, -0.48202094435691833] lin_vel_b=[0.0045545403845608234, 0.004317200742661953, 0.02150229923427105] ang_vel_b=[-0.0010193404741585255, -0.015150376595556736, 0.056648336350917816] mean_base_height=0.1158
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5086209177970886, -0.5038552284240723, 0.5018665194511414, -0.4998520612716675, 0.49430015683174133, 0.5052147507667542, -0.9510560631752014, -0.6404640674591064, -1.0355043411254883, -0.7281075716018677, -1.0285215377807617, -0.7479396462440491, -1.1508972644805908, -1.3164921998977661, -0.9969289302825928, -1.3174214363098145, -1.192415714263916, -0.4401794970035553] lin_vel_b=[-0.0012708127032965422, 7.630285108461976e-05, 0.01982445828616619] ang_vel_b=[-0.0009457971900701523, 0.014344599097967148, 0.016482962295413017] mean_base_height=0.1150
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5412989854812622, -0.49967458844184875, 0.48773983120918274, -0.494712769985199, 0.5166821479797363, 0.4950866401195526, -1.0805507898330688, -0.6442525386810303, -0.9301979541778564, -0.7171016335487366, -1.0482338666915894, -0.696834921836853, -0.8851088285446167, -1.3997993469238281, -1.086091160774231, -1.4296631813049316, -1.2175796031951904, -1.2636362314224243] lin_vel_b=[0.0004959694924764335, -0.001902520190924406, 0.018203256651759148] ang_vel_b=[-0.018856357783079147, -0.05972618609666824, 0.038709528744220734] mean_base_height=0.1133
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.4989612102508545, -0.4977695047855377, 0.5000289082527161, 0.49309584498405457, 0.5174744129180908, 0.4723418951034546, -1.0029767751693726, -0.6725450158119202, -0.935965359210968, -0.7153805494308472, -1.1006848812103271, -0.7646195292472839, -1.0459892749786377, -1.3227459192276, -1.1681123971939087, -1.4013206958770752, -1.1484642028808594, -0.5136335492134094] lin_vel_b=[0.016741788014769554, 0.00844466220587492, 0.018374234437942505] ang_vel_b=[-0.0004871916025876999, -0.018364593386650085, 0.11998571455478668] mean_base_height=0.1141
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5011351108551025, -0.4414137899875641, 0.4960585832595825, 0.5029516220092773, 0.5057653188705444, 0.49491825699806213, -0.9450656771659851, -0.6407769918441772, -0.9555032849311829, -0.7104408144950867, -1.1058405637741089, -0.7551978826522827, -1.1585088968276978, -1.2791597843170166, -1.0995417833328247, -1.370944857597351, -1.1430433988571167, -0.4393884539604187] lin_vel_b=[0.0047010816633701324, -0.004444762598723173, 0.019484182819724083] ang_vel_b=[-0.044070445001125336, 0.013336434960365295, -0.11375421285629272] mean_base_height=0.1134
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5074225664138794, -0.5039939284324646, 0.4842336177825928, 0.4947968125343323, 0.4883219003677368, 0.4964900612831116, -0.9307494163513184, -0.6394851207733154, -0.958030104637146, -0.7320225238800049, -1.0765436887741089, -0.7692348957061768, -1.2200767993927002, -1.2827357053756714, -1.0608546733856201, -1.3558343648910522, -1.141872763633728, -0.4850116968154907] lin_vel_b=[-0.0018498648423701525, -0.0034026894718408585, 0.02069459855556488] ang_vel_b=[-0.024123482406139374, 0.022363226860761642, -0.005840841680765152] mean_base_height=0.1115
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5095106363296509, -0.4983862638473511, 0.5209435224533081, -0.49965986609458923, 0.5140466690063477, 0.5028437376022339, -1.0562742948532104, -0.6429672837257385, -1.0547715425491333, -0.725796639919281, -1.1427172422409058, -0.7452037930488586, -0.9953393936157227, -1.4067747592926025, -0.9865205883979797, -1.467963457107544, -1.0545684099197388, -0.35547149181365967] lin_vel_b=[0.004967660177499056, -0.0034344736486673355, 0.013880825601518154] ang_vel_b=[0.04909958317875862, -0.05402263253927231, -0.12501996755599976] mean_base_height=0.1135
