[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.01808258332312107, -0.05522627755999565, 0.09238133579492569, -0.07349704951047897, 0.13799946010112762, 0.08676306903362274, -1.1870344877243042, -1.2940640449523926, -1.1189091205596924, -1.1117949485778809, -1.301326036453247, -1.236336350440979, -0.9489919543266296, -0.9582145810127258, -1.0688769817352295, -1.0134663581848145, -1.031126856803894, -0.8208362460136414] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1705
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.4833788275718689, 0.5027723908424377, -0.42735299468040466, -0.3596433997154236, -0.496536523103714, -0.512276291847229, -0.6731668710708618, -0.9352884292602539, -0.6573386192321777, -1.134030818939209, -1.2500276565551758, -0.9506012201309204, -1.334790825843811, -1.1138889789581299, -1.3002129793167114, -1.1199281215667725, -1.4981614351272583, -0.8657858967781067] lin_vel_b=[0.0026839952915906906, 0.014593207277357578, 0.00978523213416338] ang_vel_b=[0.031439390033483505, 0.0971340462565422, 0.0606161504983902] mean_base_height=0.1144
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.3744799494743347, 0.01645154319703579, 0.3674989640712738, -0.10132528841495514, 0.03185265511274338, -0.08896487206220627, -0.943222165107727, -0.8184347152709961, -1.0003312826156616, -0.9445065259933472, -0.9962871670722961, -1.6522256135940552, -1.0603663921356201, -0.6646246910095215, -1.0884774923324585, -0.9905829429626465, -1.0854395627975464, -1.4336096048355103] lin_vel_b=[0.0214723851531744, 0.013349481858313084, 0.02840154990553856] ang_vel_b=[-0.006974096409976482, -0.0038549238815903664, -0.2877829074859619] mean_base_height=0.1106
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.28941604495048523, -0.5012791752815247, 0.5015947818756104, 0.24876219034194946, 0.1276979148387909, 0.4824276268482208, -0.9788320660591125, -0.7281461954116821, -0.8856360912322998, -1.157745361328125, -1.0660303831100464, -1.6980293989181519, -1.0924413204193115, -0.5452707409858704, -0.9506730437278748, -1.106188178062439, -1.0654821395874023, -0.8108791708946228] lin_vel_b=[-0.00403102021664381, -0.0006184732774272561, 0.019104601815342903] ang_vel_b=[-0.022229570895433426, 0.0077263955026865005, -0.008229362778365612] mean_base_height=0.1118
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.08014913648366928, 0.3789674937725067, 0.4852559566497803, 0.5094202756881714, -0.50118488073349, 0.20218394696712494, -0.7970919013023376, -0.8355981111526489, -0.8812252283096313, -1.023905873298645, -1.5873445272445679, -1.2811392545700073, -0.9971200227737427, -1.0652399063110352, -0.7472680807113647, -1.1629340648651123, -1.452542781829834, -1.2685291767120361] lin_vel_b=[0.09027928858995438, -0.0327393002808094, 0.05380465090274811] ang_vel_b=[-0.1498497873544693, 0.06734204292297363, 0.04334380850195885] mean_base_height=0.1125
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.43130919337272644, 0.34015560150146484, 0.4817563593387604, 0.48369914293289185, -0.4966127574443817, -0.4062732756137848, -0.848407506942749, -0.8540240526199341, -1.0172401666641235, -1.0662513971328735, -1.668142557144165, -1.0442039966583252, -0.9379154443740845, -1.0012379884719849, -1.059098482131958, -1.1782506704330444, -1.395089030265808, -0.8376862406730652] lin_vel_b=[0.11007510870695114, -0.05035622417926788, -0.00042965938337147236] ang_vel_b=[0.31160256266593933, 0.0753103494644165, -0.1644359529018402] mean_base_height=0.1136
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.33252280950546265, 0.358136385679245, 0.5237522721290588, 0.5099736452102661, -0.5146520733833313, 0.3205264210700989, -0.7532846331596375, -0.8818146586418152, -0.8143423199653625, -0.9330365061759949, -1.352630853652954, -1.0980793237686157, -0.7188896536827087, -1.0967533588409424, -0.6245189309120178, -1.0600347518920898, -0.7129626870155334, -1.1037405729293823] lin_vel_b=[0.08251557499170303, -0.017453504726290703, 0.03128068521618843] ang_vel_b=[-0.070533886551857, 0.003065665252506733, 0.003602596465498209] mean_base_height=0.1137
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.2722776532173157, 0.4701947271823883, 0.4905501902103424, 0.46952030062675476, -0.49164584279060364, -0.22367984056472778, -0.8192347288131714, -0.8763059377670288, -1.22720205783844, -0.8820327520370483, -1.6690776348114014, -1.033382773399353, -0.9107860922813416, -0.813427746295929, -1.24210786819458, -1.0934025049209595, -0.5810309648513794, -0.9269865155220032] lin_vel_b=[0.09666035324335098, -0.05768778547644615, -0.008462590165436268] ang_vel_b=[0.008464336395263672, -0.15644735097885132, 0.11945730447769165] mean_base_height=0.1134
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.003328463761135936, 0.024082664400339127, 0.4876766502857208, 0.11231003701686859, -0.14273054897785187, 0.158551886677742, -0.7517815232276917, -0.9779231548309326, -0.959071934223175, -0.8535534739494324, -1.0848066806793213, -1.2979133129119873, -0.834064245223999, -1.1201589107513428, -0.593160092830658, -0.8546504378318787, -1.1991021633148193, -1.00532066822052] lin_vel_b=[0.205832839012146, -0.0046569108963012695, 0.02469552494585514] ang_vel_b=[-0.02361699938774109, 0.3289356231689453, -0.1325499713420868] mean_base_height=0.1112
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.20334579050540924, -0.19147062301635742, 0.4772520661354065, -0.15400488674640656, 0.14909864962100983, -0.20060443878173828, -0.8769055604934692, -1.1439820528030396, -1.1340652704238892, -0.9641847014427185, -1.0606119632720947, -1.4125534296035767, -1.1008164882659912, -1.2440330982208252, -1.0850450992584229, -1.1443517208099365, -1.1514440774917603, -1.2400330305099487] lin_vel_b=[0.18283435702323914, -0.055750682950019836, 0.0267396941781044] ang_vel_b=[-0.02066459134221077, 0.0325893834233284, 0.14406077563762665] mean_base_height=0.1125
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.010385100729763508, 0.14592686295509338, 0.4885478913784027, 0.11293189972639084, -0.2892337739467621, -0.07886114716529846, -1.240888237953186, -1.0113551616668701, -1.3376762866973877, -0.8947998881340027, -1.1789971590042114, -1.1245155334472656, -1.0950340032577515, -1.1999379396438599, -1.2466570138931274, -1.047395944595337, -1.0847043991088867, -1.177220344543457] lin_vel_b=[0.18144501745700836, -0.07537241280078888, 0.03494755178689957] ang_vel_b=[0.001325845718383789, 0.16415536403656006, -0.06701336055994034] mean_base_height=0.1125
