step	log_std_min	log_std_mean	log_std_max	std_min	std_mean	std_max	entropy_loss	learning_rate	tensorboard_std_mean
120	-1.998574	-1.996787	-1.995288	0.135528	0.135771	0.135974	0.10404791682958603	2.6337448559670777e-05	0.13576890528202057
240	-1.997418	-1.995098	-1.993157	0.135685	0.136000	0.136265	0.10373904071748256	2.6337448559670777e-05	0.13599877059459686
360	-1.997534	-1.993075	-1.990733	0.135669	0.136276	0.136595	0.10339544080197811	3.9506172839506166e-05	0.13627173006534576
480	-1.997170	-1.991438	-1.988467	0.135719	0.136499	0.136905	0.10307196639478207	2.6337448559670777e-05	0.1364978849887848
600	-1.995400	-1.990171	-1.987038	0.135959	0.136672	0.137101	0.10285953506827354	2.6337448559670777e-05	0.13666969537734985
720	-1.994795	-1.988573	-1.984762	0.136042	0.136891	0.137413	0.1025882501155138	3.9506172839506166e-05	0.13688640296459198
840	-1.993776	-1.986917	-1.983317	0.136180	0.137118	0.137612	0.10226642079651356	2.6337448559670777e-05	0.1371162384748459
960	-1.992580	-1.985772	-1.982667	0.136343	0.137275	0.137701	0.10204390250146389	2.6337448559670777e-05	0.13727396726608276
1080	-1.992587	-1.984007	-1.979940	0.136342	0.137518	0.138077	0.10174423530697822	2.6337448559670777e-05	0.13751570880413055
1200	-1.990146	-1.982362	-1.978311	0.136675	0.137744	0.138303	0.10147012695670128	2.6337448559670777e-05	0.13774040341377258
1320	-1.988528	-1.980557	-1.976276	0.136897	0.137993	0.138584	0.10111177898943424	1.7558299039780518e-05	0.13799183070659637
1440	-1.987118	-1.978789	-1.974741	0.137090	0.138237	0.138797	0.10081529393792152	2.6337448559670777e-05	0.13823425769805908
1560	-1.984114	-1.977062	-1.972569	0.137502	0.138476	0.139099	0.1005036048591137	2.6337448559670777e-05	0.13847306370735168
1680	-1.981720	-1.975451	-1.970624	0.137832	0.138699	0.139370	0.10020119473338127	2.6337448559670777e-05	0.13869725167751312
1800	-1.981840	-1.973900	-1.968545	0.137815	0.138915	0.139660	0.0999213021248579	2.6337448559670777e-05	0.13891258835792542
1920	-1.980494	-1.972348	-1.967041	0.138001	0.139130	0.139870	0.09965298734605313	2.6337448559670777e-05	0.1391281634569168
2040	-1.980419	-1.971316	-1.965168	0.138011	0.139274	0.140132	0.09944974146783352	1.7558299039780518e-05	0.13927273452281952
2160	-1.980084	-1.970186	-1.964567	0.138058	0.139432	0.140217	0.09925171844661236	1.7558299039780518e-05	0.13942968845367432
2280	-1.979230	-1.969069	-1.963438	0.138176	0.139588	0.140375	0.09905229024589061	1.7558299039780518e-05	0.1395854651927948
2400	-1.977765	-1.967727	-1.961774	0.138378	0.139775	0.140609	0.09880674257874489	1.1705532693187011e-05	0.13977357745170593
2520	-1.975717	-1.966268	-1.960234	0.138662	0.139979	0.140826	0.09857237301766872	2.6337448559670777e-05	0.13997530937194824
2640	-1.974155	-1.964754	-1.959018	0.138879	0.140191	0.140997	0.09827792532742023	1.7558299039780518e-05	0.14018891751766205
2760	-1.972383	-1.963375	-1.956470	0.139125	0.140385	0.141357	0.0980237103998661	1.7558299039780518e-05	0.14038296043872833
2880	-1.971169	-1.961782	-1.955342	0.139294	0.140608	0.141516	0.0977590523660183	2.6337448559670777e-05	0.14060519635677338
3000	-1.969060	-1.960507	-1.953718	0.139588	0.140788	0.141746	0.09750486463308335	1.7558299039780518e-05	0.14078614115715027
3120	-1.967326	-1.958902	-1.952646	0.139830	0.141014	0.141898	0.09721843749284745	1.7558299039780518e-05	0.14101214706897736
3240	-1.965365	-1.956947	-1.949606	0.140105	0.141290	0.142330	0.09686853028833867	1.7558299039780518e-05	0.14128872752189636
3360	-1.963024	-1.955143	-1.947817	0.140433	0.141545	0.142585	0.0965543758124113	1.7558299039780518e-05	0.14154241979122162
3480	-1.962337	-1.953712	-1.945912	0.140530	0.141748	0.142857	0.09628580883145332	1.7558299039780518e-05	0.14174586534500122
3600	-1.960939	-1.952248	-1.945255	0.140726	0.141956	0.142951	0.09602986983954906	3.9506172839506166e-05	0.1419523060321808
3720	-1.958627	-1.950425	-1.943222	0.141052	0.142215	0.143242	0.09570942595601081	3.9506172839506166e-05	0.1422111839056015
3840	-1.956077	-1.948739	-1.941386	0.141412	0.142455	0.143505	0.09540298655629158	1.7558299039780518e-05	0.14245253801345825
3960	-1.954474	-1.947292	-1.940028	0.141639	0.142661	0.143700	0.09513762928545474	2.6337448559670777e-05	0.14265792071819305
4080	-1.952303	-1.945665	-1.938452	0.141947	0.142893	0.143927	0.09484000876545906	1.7558299039780518e-05	0.1428915113210678
4200	-1.951392	-1.944082	-1.936839	0.142076	0.143120	0.144159	0.09455699361860752	1.7558299039780518e-05	0.14311744272708893
4320	-1.951080	-1.942472	-1.935367	0.142121	0.143350	0.144371	0.09426522590219974	1.1705532693187011e-05	0.14334851503372192
4440	-1.949455	-1.940975	-1.933953	0.142352	0.143565	0.144576	0.09399760216474533	1.7558299039780518e-05	0.1435627043247223
4560	-1.947623	-1.939332	-1.932136	0.142613	0.143801	0.144839	0.09371277429163456	2.6337448559670777e-05	0.1437978893518448
4680	-1.945729	-1.937656	-1.930647	0.142883	0.144042	0.145054	0.09339266009628773	2.6337448559670777e-05	0.14404059946537018
4800	-1.944924	-1.936134	-1.928769	0.142998	0.144262	0.145327	0.0931398618966341	1.7558299039780518e-05	0.1442594826221466
4920	-1.943726	-1.934577	-1.926458	0.143169	0.144487	0.145663	0.09286743141710758	2.6337448559670777e-05	0.1444828063249588
5040	-1.941086	-1.933028	-1.924525	0.143548	0.144711	0.145945	0.09257112517952919	1.7558299039780518e-05	0.1447082906961441
5160	-1.939729	-1.931369	-1.923153	0.143743	0.144951	0.146145	0.09225646555423736	1.7558299039780518e-05	0.14494958519935608
5280	-1.939164	-1.930044	-1.921980	0.143824	0.145143	0.146317	0.09202887862920761	1.7558299039780518e-05	0.14514057338237762
5400	-1.936984	-1.928539	-1.920471	0.144138	0.145362	0.146538	0.09175470359623432	1.7558299039780518e-05	0.14535972476005554
5520	-1.935790	-1.926900	-1.917981	0.144310	0.145600	0.146903	0.09147557616233826	3.9506172839506166e-05	0.14559663832187653
5640	-1.933707	-1.925065	-1.915984	0.144611	0.145868	0.147197	0.09113721810281276	1.7558299039780518e-05	0.14586549997329712
5760	-1.932685	-1.923574	-1.914370	0.144759	0.146085	0.147435	0.09086332581937313	2.6337448559670777e-05	0.1460832804441452
5880	-1.931987	-1.922189	-1.913540	0.144860	0.146288	0.147557	0.09060867838561534	1.7558299039780518e-05	0.14628629386425018
6000	-1.930640	-1.920705	-1.911840	0.145055	0.146505	0.147808	0.09034678675234317	1.7558299039780518e-05	0.1465030312538147
6120	-1.928995	-1.919184	-1.909585	0.145294	0.146728	0.148142	0.09007682725787163	1.7558299039780518e-05	0.14672636985778809
6240	-1.927084	-1.917582	-1.908136	0.145572	0.146964	0.148357	0.0897908478975296	2.6337448559670777e-05	0.14696015417575836
6360	-1.925662	-1.915979	-1.906429	0.145779	0.147200	0.148610	0.08949074074625969	1.7558299039780518e-05	0.14719754457473755
6480	-1.924051	-1.914345	-1.905152	0.146014	0.147440	0.148800	0.08923263847827911	2.6337448559670777e-05	0.14743635058403015
6600	-1.922504	-1.912870	-1.903792	0.146240	0.147658	0.149003	0.08894563391804695	2.6337448559670777e-05	0.14765457808971405
6720	-1.921146	-1.911201	-1.902572	0.146439	0.147905	0.149184	0.08864154890179635	2.6337448559670777e-05	0.14790154993534088
6840	-1.920708	-1.909737	-1.901273	0.146503	0.148121	0.149378	0.08836941681802273	1.7558299039780518e-05	0.1481192708015442
6960	-1.919599	-1.908123	-1.900099	0.146666	0.148361	0.149554	0.08808538354933262	1.7558299039780518e-05	0.14835837483406067
7080	-1.917503	-1.906239	-1.898133	0.146974	0.148641	0.149848	0.0877448283135891	1.7558299039780518e-05	0.14863841235637665
7200	-1.916108	-1.904515	-1.896324	0.147179	0.148897	0.150119	0.08743763528764248	1.7558299039780518e-05	0.14889457821846008
7320	-1.914544	-1.903152	-1.894825	0.147409	0.149100	0.150345	0.08718516528606415	1.7558299039780518e-05	0.14909884333610535
7440	-1.913388	-1.901608	-1.893039	0.147580	0.149331	0.150613	0.08690192960202694	1.7558299039780518e-05	0.14932909607887268
7560	-1.911621	-1.900158	-1.891306	0.147840	0.149547	0.150875	0.0866547454148531	1.7558299039780518e-05	0.1495446264743805
7680	-1.910397	-1.898869	-1.889783	0.148022	0.149740	0.151105	0.08640856444835662	1.7558299039780518e-05	0.14973832666873932
7800	-1.909150	-1.897463	-1.887618	0.148206	0.149951	0.151432	0.08617403768002987	2.6337448559670777e-05	0.14994727075099945
7920	-1.907298	-1.895810	-1.885637	0.148481	0.150199	0.151732	0.08587335757911205	1.7558299039780518e-05	0.15019641816616058
8040	-1.906112	-1.894439	-1.884461	0.148657	0.150405	0.151911	0.0856083419173956	1.7558299039780518e-05	0.15040358901023865
8160	-1.904341	-1.893111	-1.884080	0.148921	0.150605	0.151969	0.08538121581077576	1.7558299039780518e-05	0.15060262382030487
8280	-1.903469	-1.891520	-1.881978	0.149051	0.150845	0.152289	0.0850911520421505	1.7558299039780518e-05	0.15084289014339447
8400	-1.902849	-1.889994	-1.881114	0.149143	0.151075	0.152420	0.08483151979744434	2.6337448559670777e-05	0.15107110142707825
8520	-1.900817	-1.888528	-1.879426	0.149447	0.151297	0.152678	0.08455598838627339	1.7558299039780518e-05	0.15129472315311432
8640	-1.899063	-1.887061	-1.877941	0.149709	0.151519	0.152905	0.08428683392703533	1.7558299039780518e-05	0.1515168845653534
