step	log_std_min	log_std_mean	log_std_max	std_min	std_mean	std_max	entropy_loss	learning_rate	tensorboard_std_mean
120	-2.000103	-1.998106	-1.996355	0.135321	0.135592	0.135830	0.05214006993919611	2.6337448559670777e-05	0.13558995723724365
240	-1.999489	-1.997177	-1.994262	0.135404	0.135718	0.136114	0.05205193273723126	2.6337448559670777e-05	0.13571645319461823
360	-1.999215	-1.996824	-1.994950	0.135442	0.135766	0.136020	0.05201329383999109	2.6337448559670777e-05	0.13576535880565643
480	-1.999136	-1.996073	-1.992670	0.135452	0.135868	0.136331	0.051944644562900065	2.6337448559670777e-05	0.13586752116680145
600	-1.998374	-1.995516	-1.992211	0.135556	0.135944	0.136394	0.0518925504758954	2.6337448559670777e-05	0.13594374060630798
720	-1.998947	-1.994967	-1.992453	0.135478	0.136018	0.136361	0.05184774156659842	3.9506172839506166e-05	0.13601772487163544
840	-2.000496	-1.994745	-1.990198	0.135268	0.136049	0.136668	0.05182686448097229	2.6337448559670777e-05	0.1360483169555664
960	-2.001221	-1.994345	-1.989530	0.135170	0.136103	0.136760	0.051788860186934474	3.9506172839506166e-05	0.13610339164733887
1080	-2.002421	-1.994084	-1.989284	0.135008	0.136139	0.136793	0.05176723152399063	3.9506172839506166e-05	0.13613849878311157
1200	-2.004441	-1.993650	-1.989971	0.134736	0.136198	0.136699	0.05172850228846073	1.7558299039780518e-05	0.13619773089885712
1320	-2.006120	-1.993166	-1.989053	0.134510	0.136264	0.136825	0.05168772079050541	2.6337448559670777e-05	0.13626371324062347
1440	-2.006893	-1.993142	-1.987896	0.134406	0.136268	0.136983	0.05167942922562361	3.9506172839506166e-05	0.13626784086227417
1560	-2.006778	-1.992787	-1.987567	0.134421	0.136317	0.137028	0.05164925456047058	3.9506172839506166e-05	0.13631586730480194
1680	-2.006574	-1.992228	-1.985511	0.134448	0.136393	0.137310	0.05160201620310545	3.9506172839506166e-05	0.1363917589187622
1800	-2.006910	-1.992183	-1.985086	0.134403	0.136399	0.137369	0.05159136541187763	3.9506172839506166e-05	0.1363992542028427
1920	-2.008088	-1.992326	-1.984504	0.134245	0.136380	0.137449	0.051602091640233994	3.9506172839506166e-05	0.13638031482696533
2040	-2.008959	-1.991946	-1.983429	0.134128	0.136432	0.137597	0.05156861357390881	5.925925925925925e-05	0.1364327371120453
2160	-2.010529	-1.991908	-1.982073	0.133918	0.136438	0.137783	0.05156708564609289	3.9506172839506166e-05	0.13643772900104523
2280	-2.013618	-1.991743	-1.981283	0.133505	0.136461	0.137892	0.05155772436410189	3.9506172839506166e-05	0.13645999133586884
2400	-2.015749	-1.991294	-1.979886	0.133221	0.136523	0.138085	0.051516625098884106	3.9506172839506166e-05	0.136522576212883
2520	-2.017147	-1.991138	-1.978181	0.133034	0.136545	0.138321	0.05149855501949787	3.9506172839506166e-05	0.13654527068138123
2640	-2.020319	-1.991385	-1.979214	0.132613	0.136513	0.138178	0.05151890777051449	5.925925925925925e-05	0.1365131288766861
2760	-2.021542	-1.990867	-1.978056	0.132451	0.136585	0.138338	0.05148000288754702	3.9506172839506166e-05	0.13658371567726135
2880	-2.022634	-1.990906	-1.976711	0.132307	0.136581	0.138524	0.05147048328071833	3.9506172839506166e-05	0.13658170402050018
3000	-2.023611	-1.990989	-1.976073	0.132177	0.136570	0.138612	0.051484082080423835	5.925925925925925e-05	0.13656964898109436
3120	-2.026416	-1.990649	-1.976353	0.131807	0.136618	0.138574	0.05145885646343231	5.925925925925925e-05	0.1366172730922699
3240	-2.028035	-1.990865	-1.976081	0.131594	0.136590	0.138611	0.05146890040487051	5.925925925925925e-05	0.13659034669399261
3360	-2.032295	-1.991220	-1.975979	0.131034	0.136544	0.138626	0.05150181744247675	3.9506172839506166e-05	0.1365441381931305
3480	-2.033862	-1.991091	-1.976893	0.130829	0.136563	0.138499	0.05149390250444412	5.925925925925925e-05	0.1365625113248825
3600	-2.036994	-1.990983	-1.975964	0.130420	0.136580	0.138628	0.05148393213748932	5.925925925925925e-05	0.13657981157302856
3720	-2.038008	-1.991181	-1.974734	0.130288	0.136554	0.138798	0.05150054562836885	5.925925925925925e-05	0.13655439019203186
3840	-2.039929	-1.991369	-1.973167	0.130038	0.136530	0.139016	0.05151766575872898	3.9506172839506166e-05	0.13653036952018738
3960	-2.041879	-1.991366	-1.972544	0.129785	0.136532	0.139103	0.05151310488581658	3.9506172839506166e-05	0.1365332454442978
