step	log_std_min	log_std_mean	log_std_max	std_min	std_mean	std_max	entropy_loss	learning_rate	tensorboard_std_mean
120	-2.000056	-1.998063	-1.996035	0.135328	0.135598	0.135873	0.0521274184808135	2.6337448559670777e-05	0.13559675216674805
240	-2.001085	-1.997419	-1.995415	0.135189	0.135685	0.135957	0.052068146876990795	2.6337448559670777e-05	0.13568449020385742
360	-2.001440	-1.996839	-1.995155	0.135141	0.135764	0.135993	0.052011760883033276	2.6337448559670777e-05	0.13576394319534302
480	-2.002082	-1.996171	-1.993505	0.135054	0.135855	0.136217	0.05195220708847046	2.6337448559670777e-05	0.13585461676120758
600	-2.002744	-1.996162	-1.992916	0.134964	0.135856	0.136297	0.051948979310691354	2.6337448559670777e-05	0.13585610687732697
720	-2.003628	-1.995903	-1.992137	0.134845	0.135891	0.136404	0.051929975487291814	2.6337448559670777e-05	0.13589099049568176
840	-2.003554	-1.995820	-1.992240	0.134855	0.135903	0.136390	0.05191589407622814	2.6337448559670777e-05	0.13590334355831146
960	-2.004460	-1.995454	-1.990624	0.134733	0.135953	0.136610	0.05189273934811354	3.9506172839506166e-05	0.13595160841941833
1080	-2.003958	-1.995044	-1.989759	0.134801	0.136009	0.136728	0.051850279048085215	1.7558299039780518e-05	0.13600872457027435
1200	-2.004224	-1.995265	-1.989151	0.134765	0.135979	0.136812	0.05186595041304827	1.7558299039780518e-05	0.1359790861606598
1320	-2.005260	-1.995097	-1.988328	0.134625	0.136002	0.136924	0.051855456084012985	3.9506172839506166e-05	0.13600200414657593
1440	-2.007310	-1.994959	-1.988013	0.134350	0.136021	0.136967	0.05184370260685682	1.7558299039780518e-05	0.13602113723754883
1560	-2.009155	-1.994806	-1.986916	0.134102	0.136042	0.137118	0.05182632524520159	2.6337448559670777e-05	0.1360425055027008
1680	-2.010225	-1.994834	-1.986755	0.133959	0.136039	0.137140	0.05183082614094019	1.7558299039780518e-05	0.13603875041007996
1800	-2.012249	-1.994606	-1.986576	0.133688	0.136071	0.137164	0.051810795068740846	3.9506172839506166e-05	0.13607056438922882
1920	-2.012198	-1.994830	-1.986906	0.133695	0.136040	0.137119	0.051828202232718466	1.7558299039780518e-05	0.13604006171226501
2040	-2.011870	-1.994625	-1.986467	0.133738	0.136068	0.137179	0.051812226139009	3.9506172839506166e-05	0.13606813549995422
2160	-2.013661	-1.994680	-1.985058	0.133499	0.136061	0.137373	0.05181393828243017	2.6337448559670777e-05	0.136061891913414
2280	-2.014609	-1.994495	-1.984285	0.133373	0.136087	0.137479	0.05180609170347452	3.9506172839506166e-05	0.13608601689338684
2400	-2.015727	-1.994063	-1.984178	0.133224	0.136146	0.137494	0.051764104329049584	1.7558299039780518e-05	0.13614605367183685
2520	-2.016785	-1.993624	-1.982798	0.133083	0.136207	0.137683	0.05172560513019562	2.6337448559670777e-05	0.13620616495609283
2640	-2.019239	-1.993559	-1.982614	0.132756	0.136216	0.137709	0.05171818099915981	2.6337448559670777e-05	0.13621580600738525
2760	-2.019681	-1.993228	-1.981530	0.132698	0.136261	0.137858	0.05167932510375976	2.6337448559670777e-05	0.13626214861869812
2880	-2.020850	-1.992976	-1.981247	0.132543	0.136297	0.137897	0.05166439861059189	3.9506172839506166e-05	0.13629652559757233
3000	-2.021511	-1.993068	-1.982389	0.132455	0.136285	0.137740	0.05166962929069996	1.7558299039780518e-05	0.1362847238779068
3120	-2.022402	-1.992828	-1.981269	0.132337	0.136318	0.137894	0.05165357328951359	3.9506172839506166e-05	0.13631728291511536
3240	-2.024331	-1.992688	-1.979630	0.132082	0.136338	0.138120	0.05163736622780561	2.6337448559670777e-05	0.13633735477924347
3360	-2.024811	-1.992414	-1.979224	0.132019	0.136376	0.138176	0.051617457531392574	3.9506172839506166e-05	0.13637469708919525
3480	-2.026955	-1.992110	-1.979196	0.131736	0.136418	0.138180	0.0515860665589571	3.9506172839506166e-05	0.13641825318336487
3600	-2.028330	-1.992014	-1.979219	0.131555	0.136432	0.138177	0.05157308876514435	2.6337448559670777e-05	0.1364324688911438
3720	-2.029683	-1.992334	-1.978179	0.131377	0.136390	0.138321	0.05160213001072407	3.9506172839506166e-05	0.13639037311077118
3840	-2.032394	-1.992434	-1.977605	0.131022	0.136378	0.138400	0.05161464270204306	2.6337448559670777e-05	0.13637752830982208
3960	-2.033583	-1.992396	-1.978113	0.130866	0.136384	0.138330	0.05161196663975716	3.9506172839506166e-05	0.13638406991958618
4080	-2.034425	-1.992091	-1.977416	0.130756	0.136427	0.138426	0.051586581766605376	3.9506172839506166e-05	0.13642647862434387
4200	-2.035763	-1.991859	-1.976330	0.130581	0.136460	0.138577	0.05156207680702209	3.9506172839506166e-05	0.13645996153354645
4320	-2.038061	-1.991973	-1.974716	0.130281	0.136446	0.138801	0.051571769267320634	3.9506172839506166e-05	0.13644622266292572
4440	-2.040164	-1.991780	-1.972114	0.130007	0.136475	0.139162	0.05156058110296726	3.9506172839506166e-05	0.13647475838661194
4560	-2.042007	-1.991624	-1.971770	0.129768	0.136498	0.139210	0.05153821911662817	2.6337448559670777e-05	0.13649876415729523
4680	-2.044461	-1.991470	-1.970668	0.129450	0.136522	0.139364	0.05153465066105127	3.9506172839506166e-05	0.13652066886425018
4800	-2.046088	-1.991525	-1.970331	0.129239	0.136517	0.139411	0.05153354834765196	3.9506172839506166e-05	0.13651631772518158
4920	-2.048369	-1.991656	-1.968484	0.128945	0.136501	0.139668	0.05154471006244421	3.9506172839506166e-05	0.13650086522102356
5040	-2.050185	-1.991786	-1.968925	0.128711	0.136486	0.139607	0.05155477672815323	5.925925925925925e-05	0.13648568093776703
5160	-2.053213	-1.991977	-1.969388	0.128322	0.136463	0.139542	0.05157284922897816	2.6337448559670777e-05	0.13646259903907776
