[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.01808258332312107, -0.05522627755999565, 0.09238133579492569, -0.07349704951047897, 0.13799946010112762, 0.08676306903362274, -1.1870344877243042, -1.2940640449523926, -1.1189091205596924, -1.1117949485778809, -1.301326036453247, -1.236336350440979, -0.9489919543266296, -0.9582145810127258, -1.0688769817352295, -1.0134663581848145, -1.031126856803894, -0.8208362460136414] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1705
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.1203470304608345, 0.4837133586406708, 0.4896078407764435, -0.49973994493484497, -0.47175705432891846, -0.48136281967163086, -0.945648729801178, -0.8205908536911011, -1.4918769598007202, -1.118008017539978, -0.8489919304847717, -0.837460458278656, -1.0849107503890991, -0.5400365591049194, -1.622849464416504, -1.2035961151123047, -0.4403834640979767, -0.34832537174224854] lin_vel_b=[0.009450115263462067, -0.008304759860038757, 0.016901155933737755] ang_vel_b=[-0.03369201719760895, -0.059694498777389526, -0.022547738626599312] mean_base_height=0.1111
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.10471834987401962, -0.006662221159785986, 0.18984441459178925, 0.18384158611297607, -0.04782683774828911, -0.2270037829875946, -1.101739525794983, -1.0486047267913818, -1.2457139492034912, -1.0567532777786255, -1.0795339345932007, -1.1499462127685547, -0.9108591079711914, -0.7840731739997864, -1.2127503156661987, -1.0191985368728638, -0.8268157839775085, -1.3307362794876099] lin_vel_b=[0.045894261449575424, -0.050181206315755844, 0.014439532533288002] ang_vel_b=[-0.10299742966890335, -0.1093108057975769, 0.08662860095500946] mean_base_height=0.1092
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4463622570037842, 0.19099941849708557, 0.4873107969760895, 0.2910192012786865, 0.4310512840747833, 0.29844844341278076, -0.8165873885154724, -1.085534930229187, -1.2808624505996704, -0.9927178621292114, -0.881767749786377, -1.248035192489624, -0.7220204472541809, -1.298405408859253, -1.39498770236969, -1.1969996690750122, -0.6776009202003479, -1.3540199995040894] lin_vel_b=[0.056299641728401184, 0.02402573451399803, 0.023865526542067528] ang_vel_b=[0.01583946868777275, -0.025043420493602753, -0.09986081719398499] mean_base_height=0.1107
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.44252169132232666, -0.2585281431674957, 0.17902614176273346, 0.32253870368003845, -0.04378751665353775, 0.44191890954971313, -1.5037440061569214, -1.2581727504730225, -1.2434858083724976, -1.239367961883545, -1.4332423210144043, -1.4299458265304565, -1.1799570322036743, -1.3627173900604248, -1.1598529815673828, -1.3151731491088867, -1.5182167291641235, -1.5226155519485474] lin_vel_b=[0.06298420578241348, -0.02171815186738968, 0.03421599045395851] ang_vel_b=[0.1041908860206604, -0.2838352918624878, 0.0904528796672821] mean_base_height=0.1093
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.35126376152038574, -0.3897353410720825, 0.4832644760608673, 0.22934052348136902, 0.15918096899986267, 0.44533342123031616, -1.404966950416565, -1.4627970457077026, -1.156982660293579, -1.4193804264068604, -1.1621644496917725, -1.2761415243148804, -1.4673551321029663, -1.460220456123352, -0.9788104891777039, -1.3799344301223755, -1.2755858898162842, -1.477739930152893] lin_vel_b=[0.055706825107336044, 0.043960098177194595, -0.002187912818044424] ang_vel_b=[0.2534194886684418, 0.3341161012649536, 0.11629736423492432] mean_base_height=0.1073
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.3626817464828491, -0.20997782051563263, 0.49516206979751587, 0.2526426613330841, -0.009001024067401886, 0.45373696088790894, -1.254655122756958, -1.496120572090149, -1.1393790245056152, -1.4422310590744019, -1.0819690227508545, -1.2159056663513184, -1.386791706085205, -1.4561752080917358, -1.0190606117248535, -1.2966222763061523, -1.2422866821289062, -1.4825888872146606] lin_vel_b=[0.07175982743501663, -0.018402600660920143, -0.025747697800397873] ang_vel_b=[-0.23161673545837402, 0.17438870668411255, -0.014003713615238667] mean_base_height=0.1079
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.35068637132644653, -0.06380972266197205, 0.32561010122299194, -0.05734243988990784, -0.16411499679088593, 0.17095094919204712, -1.5166226625442505, -1.380275011062622, -1.412969708442688, -1.1616568565368652, -1.4528180360794067, -1.3343799114227295, -1.435056447982788, -1.4717239141464233, -1.3229942321777344, -1.3632267713546753, -1.3636640310287476, -1.3831554651260376] lin_vel_b=[0.11715130507946014, -0.0020007044076919556, 0.026577448472380638] ang_vel_b=[-0.10929740220308304, -0.013676628470420837, -0.05675393342971802] mean_base_height=0.1069
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.42262688279151917, -0.01417249720543623, 0.3166654407978058, -0.2101752907037735, 0.14044229686260223, -0.02620449662208557, -0.9476650357246399, -1.3598164319992065, -1.2330721616744995, -1.3093231916427612, -1.266772985458374, -1.294010043144226, -0.9631904363632202, -1.3659486770629883, -1.2734253406524658, -1.3367242813110352, -1.429409146308899, -1.2517849206924438] lin_vel_b=[0.1227336972951889, 0.02672256901860237, 0.03914588317275047] ang_vel_b=[-0.1507774293422699, 0.078765869140625, -0.11593814194202423] mean_base_height=0.1080
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4144083857536316, 0.1744716316461563, 0.11588287353515625, -0.047210585325956345, 0.2864541709423065, -0.04491088166832924, -1.0298049449920654, -1.149466872215271, -1.397635817527771, -1.0312843322753906, -1.653525948524475, -1.1911863088607788, -0.8886489868164062, -1.2646995782852173, -1.4289764165878296, -1.3749630451202393, -1.5114033222198486, -1.0509939193725586] lin_vel_b=[0.131782665848732, -0.01246417872607708, 0.009473897516727448] ang_vel_b=[0.076713427901268, -0.07882412523031235, 0.1912553906440735] mean_base_height=0.1074
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.44090142846107483, 0.22538965940475464, 0.28746843338012695, -0.033623311668634415, 0.36106806993484497, -0.22444993257522583, -1.0011541843414307, -1.2491761445999146, -1.3051435947418213, -1.2742040157318115, -1.404183268547058, -1.2383493185043335, -1.0211851596832275, -1.2475343942642212, -1.384149193763733, -1.4732681512832642, -1.4834243059158325, -1.0083248615264893] lin_vel_b=[0.12666413187980652, 0.0038626231253147125, 0.06734520196914673] ang_vel_b=[-0.0657157376408577, 0.030437568202614784, 0.03162118047475815] mean_base_height=0.1082
