[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.09246624261140823, -0.042534422129392624, -0.26438459753990173, 0.01451838668435812, -0.012086640112102032, -0.05797257646918297, 0.43771490454673767, 0.46716129779815674, 0.39254581928253174, 0.4636856019496918, 0.3328949511051178, 0.7265504598617554, 0.5311684608459473, 0.48158109188079834, 0.6286642551422119, 0.6181952953338623, 0.48729407787323, 0.6216890811920166] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.2804
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.49120762944221497, -0.474992036819458, -0.3024269938468933, -0.04419003427028656, 0.18225452303886414, 0.12446858733892441, 0.47750207781791687, 0.25469619035720825, 0.4375445544719696, 0.5160641074180603, 0.6370984315872192, 0.49900662899017334, 0.4182950258255005, 0.24353764951229095, 0.2042311429977417, 0.3616875112056732, 0.44338729977607727, 0.31945228576660156] lin_vel_b=[0.004537335596978664, 0.013535966165363789, 0.03312603756785393] ang_vel_b=[0.24220657348632812, 0.04651379585266113, 0.13725952804088593] mean_base_height=0.2054
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4286920726299286, -0.0915275290608406, -0.22582532465457916, 0.4894472658634186, 0.049849145114421844, 0.21652095019817352, 0.6095302700996399, 0.11698321253061295, 0.57729572057724, 0.06531543284654617, 0.4727707803249359, 0.18021483719348907, 0.5145383477210999, 0.4011448323726654, 0.4719209372997284, 0.13802945613861084, 0.3973288834095001, 0.16692721843719482] lin_vel_b=[0.037692636251449585, 0.012776480987668037, 0.027206936851143837] ang_vel_b=[0.010098244994878769, 0.06427798420190811, -0.004842435009777546] mean_base_height=0.2028
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4930477738380432, -0.47195112705230713, -0.044814009219408035, 0.46884608268737793, -0.013628441840410233, -0.49950718879699707, 0.5502098798751831, 0.0479394905269146, 0.5716440081596375, 0.007395860739052296, 0.5445862412452698, 0.03462063893675804, 0.3897382616996765, 0.23201929032802582, 0.5779677629470825, 0.20035555958747864, 0.5614064335823059, 0.031723760068416595] lin_vel_b=[0.04175194352865219, -0.008719082921743393, 0.005033352877944708] ang_vel_b=[-0.24954856932163239, -0.12245974689722061, 0.17600581049919128] mean_base_height=0.2029
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.49986937642097473, -0.4942716360092163, -0.16964870691299438, 0.4211597144603729, 0.1421974152326584, -0.5006323456764221, 0.5878394842147827, 0.08785534650087357, 0.4950222373008728, 0.038935452699661255, 0.45271405577659607, 0.06733743846416473, 0.3609224557876587, 0.08642877638339996, 0.41736090183258057, 0.00995258241891861, 0.36731666326522827, 0.05543811619281769] lin_vel_b=[0.05907071381807327, 0.008143913000822067, 0.048498380929231644] ang_vel_b=[-0.057119205594062805, 0.03029782325029373, 0.020565571263432503] mean_base_height=0.2011
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.505167543888092, -0.4895760416984558, 0.114584781229496, 0.4475903809070587, -0.027634846046566963, -0.5014922618865967, 0.22513604164123535, 0.33758506178855896, 0.18877166509628296, 0.32529518008232117, 0.1788448840379715, 0.27695778012275696, 0.21698559820652008, 0.19288872182369232, 0.1899368315935135, 0.20995637774467468, 0.1692046821117401, 0.22404341399669647] lin_vel_b=[0.06903406232595444, 0.05196795612573624, 0.10452262312173843] ang_vel_b=[0.03484940528869629, -0.025139838457107544, 0.22025683522224426] mean_base_height=0.2019
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4995635151863098, -0.4987335801124573, 0.041377898305654526, 0.4838477373123169, 0.016225028783082962, -0.4999898672103882, 0.6910906434059143, 0.04773375391960144, 0.6395490765571594, -0.00016742812294978648, 0.5947773456573486, 0.03040812909603119, 0.5288489460945129, 0.10912458598613739, 0.6575409173965454, 0.17719721794128418, 0.5970742106437683, 0.030436327680945396] lin_vel_b=[0.053938522934913635, 0.013135284185409546, 0.025788284838199615] ang_vel_b=[-0.055755190551280975, 0.02828233316540718, 0.05288168415427208] mean_base_height=0.2008
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.5013494491577148, -0.4980633556842804, 0.07094548642635345, 0.4888263940811157, -0.05632944032549858, -0.5000028610229492, 0.697066605091095, 0.04024726524949074, 0.6806284785270691, -0.0034861834719777107, 0.6540887951850891, 0.022687960416078568, 0.4268825352191925, 0.022977152839303017, 0.7399976253509521, 0.11817540973424911, 0.6801771521568298, 0.021038951352238655] lin_vel_b=[0.06324151903390884, 0.011497654020786285, 0.014913438819348812] ang_vel_b=[-0.04342327639460564, 0.017694152891635895, 0.02346746437251568] mean_base_height=0.2009
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.5008842349052429, -0.4888071119785309, -0.06152455136179924, 0.20179346203804016, 0.039024945348501205, -0.495304673910141, 0.3921215832233429, 0.42237693071365356, 0.23045822978019714, 0.36536067724227905, 0.2102348953485489, 0.40323495864868164, 0.5037010312080383, 0.1376657485961914, 0.1684572845697403, 0.17955175042152405, 0.13446973264217377, 0.4010035991668701] lin_vel_b=[0.1100299283862114, 0.05283220484852791, -0.15509183704853058] ang_vel_b=[-0.12977123260498047, 0.04231764376163483, 0.07991287112236023] mean_base_height=0.2005
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.5069326162338257, -0.49281150102615356, 0.07047875225543976, 0.4054439663887024, -0.20945210754871368, -0.5017443299293518, 0.6513226628303528, 0.11380427330732346, 0.5163399577140808, 0.06221449747681618, 0.48399174213409424, 0.0995282232761383, 0.5780128836631775, 0.03573086857795715, 0.456154465675354, 0.014179396443068981, 0.4443933069705963, 0.10910125076770782] lin_vel_b=[0.10520345717668533, 0.02247488498687744, 0.04304385557770729] ang_vel_b=[-0.019699569791555405, -0.0076439217664301395, 0.03306225314736366] mean_base_height=0.2010
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.5087507367134094, -0.4955724775791168, 0.15354767441749573, 0.4802122414112091, -0.3995325565338135, -0.5004991888999939, 0.5254688858985901, 0.05452384799718857, 0.42844709753990173, 0.11060454696416855, 0.489196240901947, 0.038712672889232635, 0.2860150933265686, 0.11474096775054932, 0.4835262596607208, 0.13166989386081696, 0.6127234101295471, 0.037470292299985886] lin_vel_b=[0.09208185225725174, 0.00491946330294013, -0.1371624618768692] ang_vel_b=[-0.1971672922372818, 0.17424649000167847, 0.10331768542528152] mean_base_height=0.1999
