[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.09246624261140823, -0.042534422129392624, -0.26438459753990173, 0.01451838668435812, -0.012086640112102032, -0.05797257646918297, 0.43771490454673767, 0.46716129779815674, 0.39254581928253174, 0.4636856019496918, 0.3328949511051178, 0.7265504598617554, 0.5311684608459473, 0.48158109188079834, 0.6286642551422119, 0.6181952953338623, 0.48729407787323, 0.6216890811920166] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.2810
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.494607150554657, 0.38581082224845886, 0.5082281827926636, -0.4959990084171295, -0.48304399847984314, -0.5005125999450684, 0.7695174813270569, 0.031214019283652306, 0.6555144786834717, 0.7778749465942383, 0.8154294490814209, 0.41840827465057373, 0.857943058013916, 0.02802685834467411, 0.45628467202186584, 0.7621854543685913, 0.8231676816940308, 0.17454172670841217] lin_vel_b=[0.0022954146843403578, 0.0005679868045262992, 0.02169230580329895] ang_vel_b=[-0.0016080352943390608, -0.02415885590016842, -0.03589313477277756] mean_base_height=0.2127
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.3800351321697235, 0.5184738039970398, -0.47796064615249634, 0.5414976477622986, -0.5072668790817261, -0.49079179763793945, 0.3450869023799896, 0.8333637118339539, 0.9736961126327515, 0.6400808691978455, 0.875369668006897, 0.8070103526115417, 0.4656991958618164, 1.1125372648239136, 0.3747212588787079, 0.9086737632751465, 0.955101728439331, 0.6595073938369751] lin_vel_b=[0.007252531126141548, -0.009401679039001465, 0.04920591413974762] ang_vel_b=[0.059008628129959106, -0.10757207125425339, -0.03473444655537605] mean_base_height=0.2065
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.29707297682762146, 0.45834797620773315, 0.5107226371765137, 0.5053485035896301, -0.14209923148155212, -0.24516969919204712, 0.4160260260105133, 0.34533074498176575, 0.472965806722641, 0.664310097694397, 0.5921586155891418, 0.216703400015831, 0.27453839778900146, 0.40795475244522095, 0.6950417160987854, 0.6147845983505249, 0.4784340262413025, 0.31114065647125244] lin_vel_b=[0.1905721127986908, -0.045856304466724396, 0.037193868309259415] ang_vel_b=[-0.18720173835754395, 0.27708736062049866, 0.17938968539237976] mean_base_height=0.2017
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.26204320788383484, 0.17139947414398193, 0.5186360478401184, 0.4924781024456024, -0.2257528454065323, -0.4062383472919464, 0.48444998264312744, 0.22686223685741425, 0.24044567346572876, 0.7072175741195679, 0.5035321116447449, 0.34000858664512634, 0.34982261061668396, 0.017299285158514977, 0.4868025481700897, 0.5257593393325806, 0.38104772567749023, 0.5640365481376648] lin_vel_b=[0.15767286717891693, -0.002469778060913086, 0.0684511810541153] ang_vel_b=[0.06466811895370483, 0.027475908398628235, 0.05935316160321236] mean_base_height=0.1986
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.38677147030830383, 0.3153749406337738, 0.5038937926292419, 0.4911979138851166, -0.36080336570739746, -0.5278990268707275, 0.5836730599403381, 0.2873668670654297, 0.16337475180625916, 0.5349963903427124, 0.31631532311439514, 0.11693070083856583, 0.45675772428512573, 0.20260094106197357, 0.264920175075531, 0.3934398293495178, 0.368493914604187, 0.2136814445257187] lin_vel_b=[0.08584477007389069, -0.006514705717563629, 0.020458169281482697] ang_vel_b=[0.04209582880139351, 0.01421437133103609, 0.11289072781801224] mean_base_height=0.1964
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.38587090373039246, 0.4166821241378784, 0.4534112215042114, 0.48299652338027954, -0.37642815709114075, -0.5163977742195129, 0.307889848947525, 0.17753152549266815, 0.14671280980110168, 0.5733741521835327, 0.2939896583557129, 0.27618587017059326, 0.2500452995300293, 0.009070103988051414, 0.2915359139442444, 0.30498233437538147, 0.17974676191806793, 0.44944027066230774] lin_vel_b=[0.07692147046327591, 0.0056223198771476746, -0.02615804597735405] ang_vel_b=[-0.14845514297485352, -0.11453237384557724, 0.02505180984735489] mean_base_height=0.1956
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.3673543334007263, 0.4698788523674011, 0.4805738925933838, 0.47304007411003113, -0.3386610448360443, -0.5375433564186096, 0.203915074467659, 0.06246452033519745, 0.16647738218307495, 0.4956513047218323, 0.39684969186782837, 0.40090471506118774, 0.09928885102272034, -0.04545798525214195, 0.4011257588863373, 0.17920207977294922, 0.19867247343063354, 0.5715728998184204] lin_vel_b=[0.07555730640888214, 0.0028928592801094055, -0.0034809024073183537] ang_vel_b=[-0.10727330297231674, -0.023204796016216278, 0.07774363458156586] mean_base_height=0.1934
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.4325295388698578, 0.4386587142944336, 0.49091845750808716, 0.47954609990119934, -0.38184282183647156, -0.5279598832130432, 0.15452119708061218, 0.06890571862459183, 0.26774996519088745, 0.44956082105636597, 0.37557077407836914, 0.40362265706062317, 0.10112923383712769, -0.002416320377960801, 0.5403724908828735, 0.1787818968296051, 0.20553269982337952, 0.5158452391624451] lin_vel_b=[0.08391718566417694, 0.0011847689747810364, 0.020157484337687492] ang_vel_b=[-0.11533050984144211, 0.032542213797569275, -0.035656023770570755] mean_base_height=0.1924
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.4396436810493469, 0.4196341633796692, 0.49658203125, 0.4806152880191803, -0.3959299623966217, -0.5268940925598145, 0.12252087891101837, 0.07353522628545761, 0.2572648227214813, 0.3681023120880127, 0.3235354721546173, 0.32395222783088684, 0.09774722158908844, 0.033473044633865356, 0.4730451703071594, 0.14810717105865479, 0.21030683815479279, 0.3832942843437195] lin_vel_b=[0.0778190940618515, 0.0004873722791671753, 0.04358029365539551] ang_vel_b=[-0.07744096219539642, -0.04994586855173111, -0.05703432857990265] mean_base_height=0.1912
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.4223339855670929, 0.46289652585983276, 0.48726263642311096, 0.4765235483646393, -0.349773108959198, -0.5340163111686707, 0.11483023315668106, 0.006440197117626667, 0.2159346342086792, 0.3256421983242035, 0.3304709494113922, 0.301974892616272, 0.09861287474632263, -0.013474790379405022, 0.44441917538642883, 0.03829997032880783, 0.12233413755893707, 0.44508564472198486] lin_vel_b=[0.07138518989086151, -0.00047732144594192505, 0.02082488313317299] ang_vel_b=[0.054979387670755386, -0.12135900557041168, -0.2162913978099823] mean_base_height=0.1899
