[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.09246624261140823, -0.042534422129392624, -0.26438459753990173, 0.01451838668435812, -0.012086640112102032, -0.05797257646918297, 0.43771490454673767, 0.46716129779815674, 0.39254581928253174, 0.4636856019496918, 0.3328949511051178, 0.7265504598617554, 0.5311684608459473, 0.48158109188079834, 0.6286642551422119, 0.6181952953338623, 0.48729407787323, 0.6216890811920166] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.2810
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.7655029296875, 0.7484816908836365, 0.7436597943305969, -0.7986470460891724, -0.7462064623832703, -0.7481995820999146, 1.2246376276016235, 1.0439198017120361, 1.0882340669631958, 1.1326136589050293, 0.06351758539676666, 1.169320821762085, 1.165547251701355, 0.8403851985931396, 1.1805487871170044, 1.4070080518722534, -0.23767009377479553, 1.3932380676269531] lin_vel_b=[0.01370569784194231, 0.02373705618083477, 0.010593500919640064] ang_vel_b=[0.09661875665187836, -0.04374171420931816, 0.15214605629444122] mean_base_height=0.2061
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.6618747711181641, 0.6548061370849609, 0.7178383469581604, -0.7419430613517761, -0.7559813261032104, -0.05991343408823013, 1.1180733442306519, 1.2076743841171265, 1.1269848346710205, 0.2087678462266922, 0.06009984761476517, 0.5886006951332092, 0.42591309547424316, 1.157631278038025, 1.2460829019546509, -0.274048388004303, 0.07536228746175766, 1.0022337436676025] lin_vel_b=[-0.015315091237425804, -0.017095759510993958, -0.07708068937063217] ang_vel_b=[0.2506736218929291, 0.2178129106760025, 0.09618891030550003] mean_base_height=0.1919
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.28730660676956177, 0.2525281310081482, 0.043483976274728775, -0.32510676980018616, -0.2674326002597809, 0.2301032990217209, 0.7294215559959412, 0.6208164691925049, 0.689285159111023, 0.7108518481254578, 0.6994907259941101, 0.6456183195114136, 0.7079902291297913, 0.4841442108154297, 0.44109389185905457, 0.5709697008132935, 0.3826376795768738, 0.4224666655063629] lin_vel_b=[0.015559954568743706, 0.01831100881099701, -0.7762041091918945] ang_vel_b=[0.06147021800279617, -0.0018240729114040732, 0.08521821349859238] mean_base_height=0.1818
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.3939535617828369, 0.7292460203170776, 0.5685176253318787, -0.7057322859764099, -0.7283432483673096, 0.39275968074798584, 0.5542574524879456, 0.9299612045288086, 0.15894344449043274, 0.9075008034706116, 0.07059501856565475, 0.6196261644363403, 1.7008167505264282, 2.2603750228881836, 1.331200122833252, 2.2534492015838623, 1.2245787382125854, 1.975091814994812] lin_vel_b=[-0.016483822837471962, 0.00622551329433918, -0.0011048070155084133] ang_vel_b=[0.08873472362756729, 0.040559131652116776, -0.00010051834397017956] mean_base_height=0.1656
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.1290649175643921, 0.6185811161994934, 0.7588310837745667, -0.7702957987785339, -0.7388986945152283, -0.38837942481040955, 1.176026463508606, 0.8853889107704163, 0.8971534371376038, 0.7997916340827942, 0.8726320862770081, 0.9994363784790039, 1.0496575832366943, 0.967927873134613, 1.2106884717941284, 0.7065885663032532, 1.1824265718460083, 1.4033292531967163] lin_vel_b=[-0.02853855863213539, 0.02891446277499199, 0.01781606115400791] ang_vel_b=[0.02621636539697647, 0.035185910761356354, 0.059937573969364166] mean_base_height=0.1935
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.6526630520820618, 0.6742686629295349, 0.7240712642669678, -0.7073633074760437, -0.6695548892021179, -0.6734841465950012, 0.5831800699234009, 0.7362121343612671, -0.04622548818588257, 0.7652496695518494, -0.07734981924295425, 0.8954529166221619, 1.9055075645446777, 2.0636110305786133, 1.0780794620513916, 2.0827999114990234, 1.0134161710739136, 2.20731258392334] lin_vel_b=[-0.0054055191576480865, 0.0073456112295389175, 0.0050084469839930534] ang_vel_b=[0.054521627724170685, -0.03638876974582672, -0.014258567243814468] mean_base_height=0.1459
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7111343741416931, 0.7125295400619507, 0.7120380997657776, -0.7232837677001953, -0.6952785849571228, -0.7045025825500488, 0.4672139585018158, 0.7357915639877319, 0.01948246732354164, 0.7234562635421753, -0.05220911279320717, 0.7563355565071106, 1.7293987274169922, 2.0622799396514893, 1.090930700302124, 2.0525572299957275, 1.0752582550048828, 2.084832191467285] lin_vel_b=[-0.011957323178648949, 0.004120860248804092, 0.016424212604761124] ang_vel_b=[-0.05615627020597458, 0.0759066566824913, -0.012523384764790535] mean_base_height=0.1311
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7190449237823486, 0.6943454742431641, 0.7514293789863586, -0.7274360656738281, -0.5909671783447266, -0.6729521751403809, 0.46575722098350525, 0.7703397870063782, 0.1304263174533844, 0.694442093372345, -0.12376934289932251, 0.8742963075637817, 1.7592400312423706, 2.087398052215576, 1.2054157257080078, 2.0211527347564697, 0.9223775863647461, 2.185025453567505] lin_vel_b=[-0.007446312811225653, 0.003690773621201515, 0.005621801596134901] ang_vel_b=[0.030822768807411194, 0.015282378531992435, -0.09374268352985382] mean_base_height=0.1241
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.7891581058502197, 0.7296124696731567, 0.7447933554649353, -0.7790555953979492, -0.727188766002655, -0.21470467746257782, 1.1420743465423584, 1.0396579504013062, 0.9209758043289185, 0.8313496708869934, 0.4933210015296936, 0.8101156949996948, 1.2366422414779663, 1.1988060474395752, 1.1459786891937256, 0.8934275507926941, 0.5874638557434082, 1.1554136276245117] lin_vel_b=[0.017519334331154823, -0.0016526286490261555, 0.02859973907470703] ang_vel_b=[-0.040662992745637894, -0.04384859651327133, 0.05973603576421738] mean_base_height=0.1167
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.6559489965438843, 0.7386428713798523, 0.6534637808799744, -0.7638764381408691, -0.37113532423973083, -0.7015597224235535, 0.4835301637649536, 0.5822948813438416, 0.014419075101613998, 0.7492473125457764, -0.14779415726661682, 0.86650151014328, 1.820101022720337, 1.9158319234848022, 1.0826926231384277, 2.0434248447418213, 1.0756326913833618, 2.170358419418335] lin_vel_b=[0.01419918704777956, -0.023463871330022812, 0.015464384108781815] ang_vel_b=[-0.06501337140798569, -0.08417489379644394, -0.024005798622965813] mean_base_height=0.1206
