[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.01808258332312107, -0.05522627755999565, 0.09238133579492569, -0.07349704951047897, 0.13799946010112762, 0.08676306903362274, -1.1870344877243042, -1.2940640449523926, -1.1189091205596924, -1.1117949485778809, -1.301326036453247, -1.236336350440979, -0.9489919543266296, -0.9582145810127258, -1.0688769817352295, -1.0134663581848145, -1.031126856803894, -0.8208362460136414] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1731
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5012816190719604, 0.4941011965274811, 0.4937416613101959, -0.5126984715461731, -0.4803158938884735, -0.5033876895904541, -0.8542529344558716, -1.000683307647705, -0.8486330509185791, -0.9257250428199768, -0.9855701923370361, -0.890097975730896, -1.0004994869232178, -1.0438686609268188, -0.5186184048652649, -1.0844552516937256, -0.8631748557090759, -0.5576411485671997] lin_vel_b=[0.001108673051930964, 0.006147935055196285, 0.017893951386213303] ang_vel_b=[-0.037395402789115906, 0.015377258881926537, -0.01318227406591177] mean_base_height=0.1110
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.48714035749435425, 0.49495580792427063, 0.48211953043937683, -0.5132138729095459, -0.47921988368034363, -0.4852529764175415, -0.9000357389450073, -1.0970760583877563, -0.938737690448761, -0.9014447331428528, -0.96767657995224, -0.9572572708129883, -1.04801607131958, -1.1244721412658691, -0.5969363451004028, -1.0732194185256958, -0.8316807150840759, -0.6317468285560608] lin_vel_b=[0.0016551403095945716, -0.00218329974450171, 0.025476358830928802] ang_vel_b=[0.07564710080623627, 0.08955797553062439, -0.05017160251736641] mean_base_height=0.1086
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.21545469760894775, 0.4497796595096588, 0.05407235026359558, 0.0549905002117157, -0.1437140256166458, -0.0410303957760334, -0.8583391308784485, -1.106250524520874, -1.3248320817947388, -0.9868819117546082, -1.3226137161254883, -1.2493630647659302, -0.934639036655426, -1.2619706392288208, -1.3329215049743652, -1.1069139242172241, -1.407169222831726, -1.0266838073730469] lin_vel_b=[0.1475159376859665, -0.004694744944572449, -0.00218090764246881] ang_vel_b=[0.08101938664913177, -0.07994269579648972, 0.42079320549964905] mean_base_height=0.1092
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.3127022385597229, 0.27435436844825745, 0.27861663699150085, 0.1217198446393013, -0.20518115162849426, 0.0437595471739769, -1.0122885704040527, -1.1897633075714111, -1.0775153636932373, -1.1609739065170288, -1.2016632556915283, -1.306584358215332, -1.1054383516311646, -1.3541046380996704, -1.1367985010147095, -1.2187529802322388, -1.3938231468200684, -1.3465855121612549] lin_vel_b=[0.141215980052948, 0.017804458737373352, -0.004803702235221863] ang_vel_b=[0.2833521366119385, 0.05308553948998451, -0.07731315493583679] mean_base_height=0.1094
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.39978161454200745, 0.48646682500839233, 0.44600290060043335, 0.3652830719947815, -0.3330690860748291, 0.16299012303352356, -1.3097915649414062, -1.475187063217163, -1.0419172048568726, -1.3895546197891235, -1.1828418970108032, -1.3573853969573975, -1.4457905292510986, -1.4516017436981201, -0.9653908014297485, -1.4515043497085571, -1.343055009841919, -1.434617042541504] lin_vel_b=[0.08375804871320724, 0.002903037704527378, -0.04233608394861221] ang_vel_b=[-0.0027868319302797318, -0.03237659111618996, 0.157052144408226] mean_base_height=0.1048
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.35755738615989685, 0.41103291511535645, 0.4615233838558197, 0.3519296944141388, -0.37365254759788513, 0.000692420348059386, -1.2409887313842773, -1.4343185424804688, -1.0996294021606445, -1.392822027206421, -1.2854979038238525, -1.4322819709777832, -1.4096964597702026, -1.413717269897461, -0.943169355392456, -1.4809443950653076, -1.3662358522415161, -1.4141923189163208] lin_vel_b=[0.09080037474632263, -0.003224499523639679, -0.051520902663469315] ang_vel_b=[-0.04307934641838074, 0.11239905655384064, -0.005551957990974188] mean_base_height=0.1030
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.18743877112865448, 0.31608158349990845, 0.5061157941818237, 0.2654206454753876, -0.2515459656715393, -0.5059397220611572, -1.321168303489685, -1.2383112907409668, -1.3249887228012085, -1.2731012105941772, -1.4950077533721924, -1.340739130973816, -1.4222685098648071, -1.321075439453125, -1.1464523077011108, -1.4374828338623047, -1.3642768859863281, -1.2891910076141357] lin_vel_b=[0.08956905454397202, 0.003889241022989154, 0.00987253524363041] ang_vel_b=[0.02222464419901371, 0.03511424362659454, -0.15960069000720978] mean_base_height=0.1015
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.3041914701461792, 0.22151555120944977, 0.5109237432479858, 0.44419223070144653, -0.39981135725975037, -0.5014503598213196, -1.3423404693603516, -1.2310484647750854, -1.1800504922866821, -1.385857105255127, -1.4292197227478027, -1.3751730918884277, -1.3613190650939941, -1.3371479511260986, -1.0118547677993774, -1.4963449239730835, -1.3167885541915894, -1.3304182291030884] lin_vel_b=[0.11429963260889053, 0.006082253530621529, 0.08426734805107117] ang_vel_b=[0.014619773253798485, -0.10183095932006836, -0.05260767042636871] mean_base_height=0.1019
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.3752305507659912, 0.22701245546340942, 0.4837516248226166, 0.4589565098285675, -0.35698723793029785, -0.5106946229934692, -1.2049338817596436, -1.3198086023330688, -1.0858135223388672, -1.5292088985443115, -1.3077830076217651, -1.3869149684906006, -1.3834853172302246, -1.2090122699737549, -1.046373724937439, -1.547088861465454, -1.3186569213867188, -1.3291743993759155] lin_vel_b=[0.08614255487918854, 0.009612079709768295, -0.01860175095498562] ang_vel_b=[0.009264715015888214, 0.2372906506061554, 0.07768748700618744] mean_base_height=0.1027
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.33848869800567627, 0.27673056721687317, 0.4971866309642792, 0.43439608812332153, -0.3131309449672699, -0.5013249516487122, -1.1722257137298584, -1.376423954963684, -1.1196011304855347, -1.5182430744171143, -1.299422264099121, -1.4062504768371582, -1.3387906551361084, -1.2331749200820923, -1.0453728437423706, -1.5598598718643188, -1.3312269449234009, -1.299958348274231] lin_vel_b=[0.09461015462875366, 0.0005598794668912888, 0.007245149929076433] ang_vel_b=[0.1255960464477539, 0.08345287293195724, 0.09952624142169952] mean_base_height=0.1025
