step	log_std_min	log_std_mean	log_std_max	std_min	std_mean	std_max	entropy_loss	learning_rate	tensorboard_std_mean
120	-2.001697	-1.998243	-1.996015	0.135106	0.135573	0.135876	0.0521374175325036	2.6337448559670777e-05	0.13557355105876923
240	-2.001822	-1.997553	-1.995052	0.135089	0.135667	0.136007	0.052083097770810126	2.6337448559670777e-05	0.13566648960113525
360	-2.000026	-1.996970	-1.993419	0.135332	0.135746	0.136229	0.052028017304837706	2.6337448559670777e-05	0.13574554026126862
480	-2.000369	-1.996877	-1.991767	0.135285	0.135759	0.136454	0.052018310315907	2.6337448559670777e-05	0.13575860857963562
600	-2.000151	-1.996328	-1.990422	0.135315	0.135834	0.136638	0.05197301488369703	2.6337448559670777e-05	0.13583259284496307
720	-2.000320	-1.995974	-1.989252	0.135292	0.135882	0.136798	0.051939595490694046	2.6337448559670777e-05	0.13588078320026398
840	-2.001019	-1.995543	-1.988535	0.135197	0.135941	0.136896	0.051896036602556705	2.6337448559670777e-05	0.13594046235084534
960	-2.001349	-1.995036	-1.986239	0.135153	0.136010	0.137210	0.05184865221381187	2.6337448559670777e-05	0.13600969314575195
1080	-2.001803	-1.994447	-1.984639	0.135091	0.136090	0.137430	0.051807368732988836	2.6337448559670777e-05	0.1360885500907898
1200	-2.001846	-1.993702	-1.984343	0.135086	0.136192	0.137471	0.051738271862268446	2.6337448559670777e-05	0.13619041442871094
1320	-2.002886	-1.993301	-1.983364	0.134945	0.136247	0.137606	0.051699194312095645	2.6337448559670777e-05	0.13624592125415802
1440	-2.003075	-1.993045	-1.982097	0.134920	0.136282	0.137780	0.05167016331106424	2.6337448559670777e-05	0.13628211617469788
1560	-2.004319	-1.992899	-1.981801	0.134752	0.136303	0.137821	0.05165893957018852	2.6337448559670777e-05	0.13630205392837524
1680	-2.003609	-1.992214	-1.981004	0.134848	0.136396	0.137931	0.05159904938191175	1.7558299039780518e-05	0.13639605045318604
1800	-2.004497	-1.992281	-1.980813	0.134728	0.136387	0.137957	0.05159895326942206	1.7558299039780518e-05	0.13638760149478912
1920	-2.005221	-1.991836	-1.979907	0.134631	0.136448	0.138082	0.05156748089939356	1.7558299039780518e-05	0.13644757866859436
2040	-2.005110	-1.991716	-1.980143	0.134645	0.136465	0.138050	0.05155353993177414	1.7558299039780518e-05	0.13646464049816132
2160	-2.005248	-1.991356	-1.979392	0.134627	0.136514	0.138153	0.0515196805819869	2.6337448559670777e-05	0.13651424646377563
2280	-2.004334	-1.990782	-1.979239	0.134750	0.136593	0.138174	0.05147758536040783	2.6337448559670777e-05	0.1365913599729538
2400	-2.004360	-1.990396	-1.979703	0.134747	0.136646	0.138110	0.05143413543701172	1.7558299039780518e-05	0.13664546608924866
2520	-2.005053	-1.990379	-1.978984	0.134653	0.136649	0.138210	0.051430422626435754	3.9506172839506166e-05	0.13664856553077698
2640	-2.005590	-1.990090	-1.978458	0.134581	0.136688	0.138282	0.05140671841800213	2.6337448559670777e-05	0.13668812811374664
2760	-2.007151	-1.990020	-1.978448	0.134371	0.136699	0.138284	0.05140031725168228	1.7558299039780518e-05	0.13669812679290771
2880	-2.007749	-1.989829	-1.978103	0.134291	0.136725	0.138331	0.051381937228143215	3.9506172839506166e-05	0.13672468066215515
3000	-2.007900	-1.989751	-1.977536	0.134270	0.136736	0.138410	0.05137383509427309	2.6337448559670777e-05	0.1367359608411789
3120	-2.008923	-1.989639	-1.977811	0.134133	0.136752	0.138372	0.05136349517852068	3.9506172839506166e-05	0.13675139844417572
3240	-2.010650	-1.989485	-1.976858	0.133902	0.136773	0.138504	0.05134815499186516	1.7558299039780518e-05	0.1367737501859665
3360	-2.011931	-1.989410	-1.976549	0.133730	0.136784	0.138547	0.0513427522033453	2.6337448559670777e-05	0.13678419589996338
3480	-2.012713	-1.989034	-1.975420	0.133626	0.136836	0.138703	0.05131151061505079	3.9506172839506166e-05	0.13683561980724335
3600	-2.013834	-1.988679	-1.974466	0.133476	0.136885	0.138835	0.0512803141027689	2.6337448559670777e-05	0.13688506186008453
3720	-2.014932	-1.988694	-1.974007	0.133329	0.136885	0.138899	0.05127924792468548	1.7558299039780518e-05	0.13688433170318604
3840	-2.015747	-1.988513	-1.973045	0.133221	0.136910	0.139033	0.051265720091760156	3.9506172839506166e-05	0.1369091421365738
3960	-2.016011	-1.988118	-1.972128	0.133186	0.136965	0.139160	0.05122877322137356	2.6337448559670777e-05	0.13696447014808655
4080	-2.015605	-1.988050	-1.972018	0.133240	0.136975	0.139176	0.05122250411659479	2.6337448559670777e-05	0.13697406649589539
4200	-2.015304	-1.987747	-1.971602	0.133280	0.137017	0.139234	0.0511981388553977	3.9506172839506166e-05	0.13701565563678741
4320	-2.015559	-1.987553	-1.970638	0.133246	0.137044	0.139368	0.05117476023733616	2.6337448559670777e-05	0.13704417645931244
4440	-2.016546	-1.987690	-1.970472	0.133114	0.137026	0.139391	0.05118710175156593	1.7558299039780518e-05	0.13702622056007385
4560	-2.017207	-1.987593	-1.970375	0.133026	0.137040	0.139405	0.05117560587823391	2.6337448559670777e-05	0.13704104721546173
4680	-2.018890	-1.987462	-1.969633	0.132803	0.137059	0.139508	0.051167303882539275	3.9506172839506166e-05	0.13705918192863464
4800	-2.020289	-1.987455	-1.967605	0.132617	0.137061	0.139791	0.05117070395499468	2.6337448559670777e-05	0.13706067204475403
4920	-2.020816	-1.987236	-1.967957	0.132547	0.137092	0.139742	0.05114570744335652	3.9506172839506166e-05	0.13709206879138947
5040	-2.020917	-1.987295	-1.967801	0.132534	0.137084	0.139764	0.05115287788212299	2.6337448559670777e-05	0.13708417117595673
5160	-2.022676	-1.987076	-1.965902	0.132301	0.137116	0.140029	0.05113440528512001	2.6337448559670777e-05	0.13711555302143097
5280	-2.024540	-1.986838	-1.965759	0.132055	0.137149	0.140049	0.051112450286746026	3.9506172839506166e-05	0.13714921474456787
5400	-2.026249	-1.986846	-1.965807	0.131829	0.137149	0.140043	0.05111108813434839	1.7558299039780518e-05	0.13714957237243652
5520	-2.027250	-1.986849	-1.964608	0.131697	0.137151	0.140211	0.05111216232180595	2.6337448559670777e-05	0.13715097308158875
5640	-2.030064	-1.986917	-1.964151	0.131327	0.137144	0.140275	0.05111955162137747	3.9506172839506166e-05	0.13714343309402466
5760	-2.031251	-1.986793	-1.963060	0.131171	0.137162	0.140428	0.05110652055591345	3.9506172839506166e-05	0.1371621936559677
5880	-2.033508	-1.986893	-1.961607	0.130876	0.137150	0.140632	0.051109719276428225	3.9506172839506166e-05	0.13715143501758575
6000	-2.034654	-1.986896	-1.961981	0.130726	0.137151	0.140580	0.05112200267612934	2.6337448559670777e-05	0.13715079426765442
6120	-2.036828	-1.987141	-1.962081	0.130442	0.137120	0.140566	0.051142163947224616	3.9506172839506166e-05	0.13711951673030853
6240	-2.038878	-1.987232	-1.962406	0.130175	0.137111	0.140520	0.051141527108848096	3.9506172839506166e-05	0.1371116042137146
6360	-2.041321	-1.987660	-1.962129	0.129857	0.137055	0.140559	0.051181921549141404	3.9506172839506166e-05	0.13705536723136902
6480	-2.041704	-1.987890	-1.962263	0.129807	0.137025	0.140540	0.05120465122163296	3.9506172839506166e-05	0.13702526688575745
6600	-2.044053	-1.988095	-1.962043	0.129503	0.137001	0.140571	0.05122318901121616	2.6337448559670777e-05	0.13700072467327118
6720	-2.046094	-1.987892	-1.960588	0.129239	0.137033	0.140776	0.05120605360716581	3.9506172839506166e-05	0.13703233003616333
6840	-2.048214	-1.988026	-1.958916	0.128965	0.137017	0.141011	0.051216908544301984	3.9506172839506166e-05	0.1370169073343277
6960	-2.051265	-1.988403	-1.958185	0.128572	0.136969	0.141114	0.05124362427741289	3.9506172839506166e-05	0.13696987926959991
7080	-2.053500	-1.988659	-1.957289	0.128285	0.136938	0.141241	0.05127729084342718	3.9506172839506166e-05	0.13693763315677643
7200	-2.056272	-1.988703	-1.956311	0.127930	0.136936	0.141379	0.05128325391560793	3.9506172839506166e-05	0.13693565130233765
7320	-2.057898	-1.988765	-1.955064	0.127722	0.136932	0.141555	0.05128423515707255	3.9506172839506166e-05	0.1369318664073944
