[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.09246624261140823, -0.042534422129392624, -0.26438459753990173, 0.01451838668435812, -0.012086640112102032, -0.05797257646918297, -1.2622851133346558, -1.232838749885559, -1.307454228401184, -1.2363144159317017, -1.3671051263809204, -0.9734495878219604, -0.9688315391540527, -1.0184189081192017, -0.8713357448577881, -0.8818047046661377, -1.01270592212677, -0.8783109188079834] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1710
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.6391879916191101, 0.5540438294410706, 0.3071928322315216, -0.5430720448493958, -0.6605369448661804, -0.4272180497646332, -0.8251161575317383, -0.971772313117981, -0.8813077211380005, -0.7639897465705872, -0.8018249869346619, -0.7208151817321777, -1.016355037689209, -0.9913284778594971, -1.0259084701538086, -0.953118622303009, -0.9487497806549072, -0.6008602380752563] lin_vel_b=[0.09481881558895111, 0.014472892507910728, -0.014155663549900055] ang_vel_b=[0.07945393025875092, -0.3284994065761566, 0.3943081200122833] mean_base_height=0.1230
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.4732626676559448, -0.1362234354019165, 0.6741318106651306, -0.2630343437194824, -0.34723415970802307, -0.7060409188270569, -1.061981439590454, -0.9881187081336975, -0.8665728569030762, -0.8860554695129395, -0.7860692739486694, -0.7907747626304626, -1.1672134399414062, -1.3033968210220337, -1.0674245357513428, -1.033776044845581, -1.0277312994003296, -0.9849860072135925] lin_vel_b=[0.17066766321659088, 0.03134632855653763, 0.018485702574253082] ang_vel_b=[0.22496658563613892, 0.0907544195652008, 0.3756787180900574] mean_base_height=0.1200
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.4629749655723572, -0.007444110698997974, 0.7406734228134155, -0.5766223073005676, -0.4391680061817169, -0.7341689467430115, -1.209191083908081, -1.066483497619629, -0.8676172494888306, -1.111991286277771, -0.9493076205253601, -0.8228181004524231, -1.351807951927185, -1.3194735050201416, -1.088477373123169, -1.255583643913269, -1.1458091735839844, -0.9296094179153442] lin_vel_b=[0.15661349892616272, -0.008870303630828857, -0.004171596374362707] ang_vel_b=[-0.15715742111206055, 0.04751044511795044, -0.062295496463775635] mean_base_height=0.1152
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.4402180314064026, 0.36620357632637024, 0.7438309788703918, -0.2649182379245758, -0.40318265557289124, -0.7051120400428772, -1.3526872396469116, -1.145168662071228, -1.0428845882415771, -1.379154086112976, -1.2596535682678223, -1.0539133548736572, -1.4865974187850952, -1.3191479444503784, -1.1134799718856812, -1.4952075481414795, -1.4440265893936157, -1.0897308588027954] lin_vel_b=[0.1662558913230896, 0.023127123713493347, 0.04856793209910393] ang_vel_b=[-0.08377443253993988, -0.3180774450302124, 0.19308705627918243] mean_base_height=0.1075
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5466148853302002, 0.6323315501213074, 0.7394145131111145, -0.6879123449325562, -0.648354709148407, -0.5755488872528076, -1.4241474866867065, -1.2906643152236938, -1.1339596509933472, -1.2901439666748047, -1.1256349086761475, -0.9423359632492065, -1.5368765592575073, -1.5717661380767822, -1.2330951690673828, -1.3338277339935303, -1.2885326147079468, -0.8564459681510925] lin_vel_b=[0.08365604281425476, -0.009549986571073532, 0.04543226212263107] ang_vel_b=[-0.13700905442237854, -0.05097677558660507, -0.0811653733253479] mean_base_height=0.1066
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5621239542961121, 0.5475319623947144, 0.7200461030006409, -0.6477025151252747, -0.560294508934021, -0.6138197183609009, -1.3907190561294556, -1.3820154666900635, -1.1847633123397827, -1.2522212266921997, -1.1716456413269043, -0.9782571196556091, -1.5483789443969727, -1.5271092653274536, -1.202865719795227, -1.332062840461731, -1.3313806056976318, -0.8211067914962769] lin_vel_b=[0.08133190125226974, -0.004714108072221279, 0.07522956281900406] ang_vel_b=[0.022626640275120735, 0.00010658032260835171, 0.07072263956069946] mean_base_height=0.1044
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.572670578956604, 0.6308526396751404, 0.7484426498413086, -0.6686947345733643, -0.6175745725631714, -0.7205439209938049, -1.310089111328125, -1.4062520265579224, -1.2353671789169312, -1.2045258283615112, -1.2020217180252075, -1.0035725831985474, -1.4459093809127808, -1.4238802194595337, -1.1465744972229004, -1.2907544374465942, -1.3130707740783691, -0.7726840376853943] lin_vel_b=[0.06604062765836716, -0.007788460236042738, 0.07427950203418732] ang_vel_b=[0.033604785799980164, 0.07734806835651398, -0.04254636541008949] mean_base_height=0.1049
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.6036105155944824, 0.5513740181922913, 0.7444334626197815, -0.5575975775718689, -0.6326474547386169, -0.7126560211181641, -1.2881749868392944, -1.301032543182373, -1.1247057914733887, -1.2248080968856812, -1.163334608078003, -0.9495355486869812, -1.4286023378372192, -1.41144597530365, -1.0584712028503418, -1.2824420928955078, -1.2784217596054077, -0.7479487061500549] lin_vel_b=[0.06267695128917694, -0.010494939982891083, 0.03696447238326073] ang_vel_b=[0.07731173932552338, 0.043505847454071045, -7.423595525324345e-05] mean_base_height=0.1056
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5913439393043518, 0.6418711543083191, 0.7344832420349121, -0.5834674835205078, -0.6099786758422852, -0.7383131384849548, -1.287123680114746, -1.2814573049545288, -1.0941282510757446, -1.2055747509002686, -1.089165210723877, -0.9097008109092712, -1.4356029033660889, -1.3690593242645264, -1.1011743545532227, -1.3322954177856445, -1.2538119554519653, -0.7543062567710876] lin_vel_b=[0.07927007973194122, -0.005065895617008209, 0.04050222784280777] ang_vel_b=[0.0034268032759428024, 0.04434787109494209, 0.010409373790025711] mean_base_height=0.1078
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5501495599746704, 0.6396063566207886, 0.7525146007537842, -0.5246112942695618, -0.6201158761978149, -0.6875938177108765, -1.2683088779449463, -1.3154797554016113, -1.0850067138671875, -1.1460736989974976, -1.0872526168823242, -0.9800978302955627, -1.389587163925171, -1.3902196884155273, -1.0313544273376465, -1.2745064496994019, -1.2698949575424194, -0.8301354646682739] lin_vel_b=[0.08953362703323364, -0.005169231444597244, 0.06332305073738098] ang_vel_b=[0.02900136634707451, 0.07070542126893997, -0.022044392302632332] mean_base_height=0.1079
