[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.01808258332312107, -0.05522627755999565, 0.09238133579492569, -0.07349704951047897, 0.13799946010112762, 0.08676306903362274, -1.1870344877243042, -1.2940640449523926, -1.1189091205596924, -1.1117949485778809, -1.301326036453247, -1.236336350440979, -0.9489919543266296, -0.9582145810127258, -1.0688769817352295, -1.0134663581848145, -1.031126856803894, -0.8208362460136414] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1705
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.38741329312324524, -0.2173764854669571, -0.43356260657310486, -0.41853848099708557, -0.4631691575050354, -0.48953866958618164, -0.9141467809677124, -0.767722487449646, -0.9796711802482605, -0.8875653147697449, -0.9574200510978699, -0.8288167715072632, -1.0723408460617065, -0.5971841812133789, -1.074366569519043, -0.9179172515869141, -1.0643436908721924, -1.3247380256652832] lin_vel_b=[-0.0011836825869977474, 0.012613577768206596, 0.011022698134183884] ang_vel_b=[-0.017470745369791985, -0.022068865597248077, 0.0966210588812828] mean_base_height=0.1148
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.3113565742969513, -0.014635925181210041, 0.1533612757921219, -0.44610631465911865, -0.10566607117652893, -0.14597491919994354, -1.1079121828079224, -0.7616204619407654, -0.8535327911376953, -0.785916268825531, -0.9872382283210754, -1.1135221719741821, -1.1155331134796143, -0.39195114374160767, -0.4944441616535187, -0.5165823101997375, -0.8385327458381653, -0.9908341765403748] lin_vel_b=[-0.002571344608440995, -0.00813964195549488, 0.023243151605129242] ang_vel_b=[0.008604011498391628, 0.025720512494444847, 0.12098047137260437] mean_base_height=0.1131
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.505486786365509, 0.4731428623199463, 0.15206378698349, 0.2582438886165619, -0.4929276406764984, -0.4408760368824005, -1.1447641849517822, -0.8361860513687134, -1.0259535312652588, -0.8148131966590881, -1.0608354806900024, -0.944155216217041, -0.9915933012962341, -0.44416141510009766, -0.8207374811172485, -0.5010820031166077, -1.045995831489563, -0.7799607515335083] lin_vel_b=[5.244370549917221e-05, 0.01186987292021513, 0.022044910117983818] ang_vel_b=[0.07128927111625671, 0.036698438227176666, 0.002586870454251766] mean_base_height=0.1127
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.4987335801124573, -0.495098352432251, 0.1434493064880371, -0.23802100121974945, -0.2997867166996002, -0.500249981880188, -1.0483238697052002, -0.6655173897743225, -0.9121125936508179, -0.8161355257034302, -1.0465075969696045, -0.9503092765808105, -1.2097649574279785, -0.3205551207065582, -0.7016944289207458, -0.6624133586883545, -1.1364065408706665, -0.7955552935600281] lin_vel_b=[0.002077196491882205, 0.003968631848692894, 0.019374025985598564] ang_vel_b=[-0.013872169889509678, 0.028035560622811317, -0.02190724015235901] mean_base_height=0.1117
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.2569921612739563, 0.06072298437356949, 0.09612644463777542, -0.4899740219116211, -0.49591824412345886, -0.42179563641548157, -1.1811411380767822, -0.7779673933982849, -0.8667361736297607, -0.9649704694747925, -0.882561445236206, -1.1330125331878662, -0.9271578788757324, -0.2001117616891861, -0.37567707896232605, -0.7768949270248413, -0.6310827732086182, -0.9781314730644226] lin_vel_b=[0.04325871169567108, -0.02118733525276184, -0.0021105012856423855] ang_vel_b=[-0.07445468753576279, -0.03541022539138794, -0.10396101325750351] mean_base_height=0.1125
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.20082153379917145, 0.20921650528907776, 0.23783434927463531, -0.27894702553749084, 0.14919397234916687, 0.22238101065158844, -1.090958833694458, -0.9179600477218628, -0.9805877208709717, -0.9779475331306458, -1.043815016746521, -0.9768502116203308, -1.1343553066253662, -0.7238020300865173, -1.2375214099884033, -0.8364065289497375, -1.0944957733154297, -1.0328718423843384] lin_vel_b=[0.032389085739851, 0.014269874431192875, 0.03419002145528793] ang_vel_b=[0.034967634826898575, 0.026380879804491997, 0.008060641586780548] mean_base_height=0.1114
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.49888861179351807, 0.4989372491836548, 0.1690082848072052, 0.48085635900497437, -0.28830206394195557, -0.47523558139801025, -1.0236122608184814, -0.6913427710533142, -0.9564576148986816, -0.8267552852630615, -1.1170648336410522, -0.9441391825675964, -1.262256383895874, -0.3618670701980591, -0.7359951138496399, -0.5992684960365295, -0.9411895871162415, -0.6085594892501831] lin_vel_b=[0.016695110127329826, 0.01486430037766695, 0.015253307297825813] ang_vel_b=[-0.02094222418963909, 0.014747590757906437, 0.03168828412890434] mean_base_height=0.1117
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5055612921714783, 0.49053290486335754, 0.3947126567363739, -0.1942533403635025, -0.10746385157108307, -0.48477989435195923, -0.9862805008888245, -0.6978411674499512, -1.0799996852874756, -0.9003773927688599, -1.0852314233779907, -0.7299378514289856, -1.18374502658844, -0.3284503221511841, -0.8954037427902222, -0.8581482172012329, -1.0688889026641846, -0.27143192291259766] lin_vel_b=[-0.008709604851901531, -0.004108051303774118, 0.022100338712334633] ang_vel_b=[-6.00077910348773e-05, -0.004382035695016384, 0.01758652925491333] mean_base_height=0.1111
