[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.01808258332312107, -0.05522627755999565, 0.09238133579492569, -0.07349704951047897, 0.13799946010112762, 0.08676306903362274, -1.1870344877243042, -1.2940640449523926, -1.1189091205596924, -1.1117949485778809, -1.301326036453247, -1.236336350440979, -0.9489919543266296, -0.9582145810127258, -1.0688769817352295, -1.0134663581848145, -1.031126856803894, -0.8208362460136414] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1705
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.17910651862621307, 0.018232889473438263, -0.48752525448799133, 0.10068827122449875, -0.23309411108493805, -0.2522628903388977, -0.949501097202301, -1.024579644203186, -1.2626417875289917, -0.8452028036117554, -0.9744638204574585, -1.0879844427108765, -1.0480999946594238, -0.9467948079109192, -1.3518794775009155, -0.9292852878570557, -0.9789218306541443, -0.9785513877868652] lin_vel_b=[0.023393813520669937, 0.007549164351075888, 0.01792951114475727] ang_vel_b=[0.016276150941848755, -0.06567458808422089, 0.032810233533382416] mean_base_height=0.1153
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.06450556963682175, -0.10924576222896576, 0.20765696465969086, 0.2081667184829712, 0.04899312183260918, -0.03240489587187767, -1.1499847173690796, -1.1230334043502808, -1.1606006622314453, -1.2066158056259155, -1.1699813604354858, -1.170859456062317, -1.0772604942321777, -1.1507158279418945, -1.3175156116485596, -1.139182209968567, -1.0936394929885864, -1.1707648038864136] lin_vel_b=[0.06297515332698822, 0.01071838941425085, 0.10112155973911285] ang_vel_b=[-0.12633749842643738, -0.15956738591194153, 0.06644714623689651] mean_base_height=0.1139
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.11248501390218735, 0.44361111521720886, -0.0022251680493354797, 0.5279241800308228, -0.5044515132904053, -0.3353240489959717, -0.8853890895843506, -0.7849847674369812, -1.0798722505569458, -0.9119561910629272, -1.0342063903808594, -0.8561848402023315, -1.0373867750167847, -0.6036964058876038, -1.237204909324646, -1.0099785327911377, -1.0136587619781494, -0.5824125409126282] lin_vel_b=[0.05816346034407616, 0.018918951973319054, 0.023640992119908333] ang_vel_b=[0.028468675911426544, 0.03389213979244232, -0.1988212615251541] mean_base_height=0.1128
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.002822581911459565, -0.2870580554008484, -0.12226372212171555, 0.39210638403892517, 0.3176715075969696, 0.08587624877691269, -1.2215139865875244, -1.3073629140853882, -1.3169358968734741, -0.9936075210571289, -1.0833133459091187, -1.2799193859100342, -1.1677454710006714, -1.42570960521698, -1.206376075744629, -1.1039499044418335, -1.3067002296447754, -1.51992928981781] lin_vel_b=[0.07235661894083023, -0.02554001286625862, 0.027144793421030045] ang_vel_b=[0.017383068799972534, -0.2902500331401825, -0.0010927882976830006] mean_base_height=0.1064
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.3577316999435425, -0.20498299598693848, -0.3315264582633972, 0.47305670380592346, 0.18935348093509674, -0.20109015703201294, -1.0587849617004395, -1.3766498565673828, -1.485988974571228, -0.8625530004501343, -1.0688308477401733, -1.421852946281433, -1.2168697118759155, -1.5463589429855347, -1.3579318523406982, -0.7799257636070251, -1.2728132009506226, -1.5936990976333618] lin_vel_b=[0.08303355425596237, -0.009321101009845734, 0.02662774734199047] ang_vel_b=[-0.0016627758741378784, -0.08553078770637512, -0.03930066153407097] mean_base_height=0.1071
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.15390892326831818, -0.33435994386672974, -0.2088870257139206, 0.47241008281707764, 0.3274964392185211, -0.1711089164018631, -1.1605103015899658, -1.3477298021316528, -1.5337549448013306, -0.904417872428894, -1.065720558166504, -1.3580893278121948, -1.2938416004180908, -1.48898446559906, -1.4576586484909058, -0.8705438375473022, -1.262161374092102, -1.5164296627044678] lin_vel_b=[0.059555474668741226, -0.02960367128252983, 0.02155151590704918] ang_vel_b=[-0.051938947290182114, 0.004040081053972244, -0.04885893687605858] mean_base_height=0.1070
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.24968619644641876, -0.24527962505817413, -0.2727647125720978, 0.4933645725250244, 0.39762958884239197, -0.21114204823970795, -1.2216640710830688, -1.275896668434143, -1.2756093740463257, -1.018621563911438, -1.2752550840377808, -1.4808095693588257, -1.235671043395996, -1.4488786458969116, -1.3275108337402344, -1.1448943614959717, -1.3371365070343018, -1.5015453100204468] lin_vel_b=[0.11842149496078491, -0.011963903903961182, 0.004995089024305344] ang_vel_b=[0.4565305709838867, -0.01229846477508545, -0.16959930956363678] mean_base_height=0.1092
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.22314517199993134, -0.3428400456905365, -0.131589874625206, 0.40409427881240845, 0.25501537322998047, 0.14466921985149384, -1.3915424346923828, -1.4004963636398315, -1.2836487293243408, -1.0635517835617065, -1.1411528587341309, -1.3428690433502197, -1.14954674243927, -1.4566113948822021, -1.2913509607315063, -1.3004097938537598, -1.247390866279602, -1.3969154357910156] lin_vel_b=[0.1370164006948471, -0.02369612455368042, 0.02157285064458847] ang_vel_b=[-0.31154173612594604, 0.23580220341682434, 0.09530612081289291] mean_base_height=0.1074
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.06533260643482208, -0.015710873529314995, -0.2727227509021759, 0.2296726554632187, -0.2823735475540161, -0.004830826539546251, -1.3630297183990479, -1.3158838748931885, -1.4730321168899536, -1.0617769956588745, -1.093644380569458, -1.219500184059143, -1.1854208707809448, -1.4737539291381836, -1.4203523397445679, -1.0918457508087158, -1.1225953102111816, -1.3456248044967651] lin_vel_b=[0.12752197682857513, 0.004588356241583824, 0.04275818169116974] ang_vel_b=[0.08380374312400818, -0.144877091050148, -0.04075591638684273] mean_base_height=0.1087
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.0914153978228569, 0.24283817410469055, -0.2429334968328476, -0.0741395652294159, 0.07757547497749329, -0.03453962504863739, -0.9935963749885559, -1.159041404724121, -1.219695806503296, -1.0872795581817627, -1.4358032941818237, -1.1814804077148438, -1.267650842666626, -1.3151838779449463, -1.359423279762268, -1.2224721908569336, -1.3259650468826294, -1.0605430603027344] lin_vel_b=[0.13167327642440796, -0.014811098575592041, 0.02738637663424015] ang_vel_b=[0.19379223883152008, -0.08408625423908234, -0.05413772165775299] mean_base_height=0.1084
