[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.09246624261140823, -0.042534422129392624, -0.26438459753990173, 0.01451838668435812, -0.012086640112102032, -0.05797257646918297, 0.43771490454673767, 0.46716129779815674, 0.39254581928253174, 0.4636856019496918, 0.3328949511051178, 0.7265504598617554, 0.5311684608459473, 0.48158109188079834, 0.6286642551422119, 0.6181952953338623, 0.48729407787323, 0.6216890811920166] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.2804
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.751453697681427, -0.5572831630706787, -0.6842203736305237, 0.026223553344607353, 0.734107494354248, 0.7059089541435242, 0.31158867478370667, 0.33137768507003784, 0.8618625402450562, 1.1599664688110352, 0.753993809223175, 1.229299783706665, 0.33244141936302185, 0.5833603143692017, 0.7670146822929382, 0.498943567276001, 0.5733262300491333, 1.124821662902832] lin_vel_b=[0.031212948262691498, -0.05773124098777771, 0.021663988009095192] ang_vel_b=[-0.2273923009634018, 0.013269305229187012, 0.15537001192569733] mean_base_height=0.1998
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7640532851219177, -0.7485609650611877, -0.7087076306343079, -0.11479289084672928, 0.6382477879524231, 0.732491135597229, -0.21369902789592743, -0.06394673883914948, 0.7802809476852417, 0.8687076568603516, 0.40015771985054016, 1.2260688543319702, -0.3360574245452881, 0.42672184109687805, 0.7031876444816589, 0.052273914217948914, 0.2523132264614105, 1.0457377433776855] lin_vel_b=[0.0745924562215805, 0.020594872534275055, -0.05495288968086243] ang_vel_b=[0.40385574102401733, 0.13021889328956604, 0.09249910712242126] mean_base_height=0.1907
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7461954355239868, -0.7498936057090759, -0.7290772795677185, -0.015164469368755817, 0.7113400101661682, 0.7263241410255432, -0.17923805117607117, 0.05200258642435074, 0.5493137240409851, 0.7180151343345642, 0.5228408575057983, 1.2452969551086426, -0.3237198293209076, 0.26431193947792053, 0.5259021520614624, -0.01981942169368267, 0.41434338688850403, 1.0473088026046753] lin_vel_b=[0.054994720965623856, -0.05345340445637703, 0.0004359132144600153] ang_vel_b=[-0.27311718463897705, 0.20768214762210846, 0.15474039316177368] mean_base_height=0.1898
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7491795420646667, -0.7533703446388245, -0.7174608707427979, 0.061738111078739166, 0.7101289629936218, 0.73114013671875, -0.22022870182991028, -0.006870284676551819, 0.5913110971450806, 0.5008220076560974, 0.5491626262664795, 1.2470438480377197, -0.3509237468242645, 0.44485560059547424, 0.660941481590271, -0.14436274766921997, 0.32077476382255554, 0.9971324801445007] lin_vel_b=[0.10426915436983109, -0.0877559557557106, 0.11549720913171768] ang_vel_b=[-0.0899115577340126, -0.430307000875473, 0.20096032321453094] mean_base_height=0.1884
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7481198906898499, -0.7513996362686157, -0.7287908792495728, -0.0641879290342331, 0.7206661105155945, 0.7262133955955505, -0.1883114129304886, 0.1456337571144104, 0.42727527022361755, 0.5504552721977234, 0.40330252051353455, 1.24940025806427, -0.2853260040283203, 0.468379408121109, 0.38623714447021484, -0.09776327759027481, 0.16013003885746002, 0.8782682418823242] lin_vel_b=[0.0699658989906311, -0.07090406864881516, -0.05208606645464897] ang_vel_b=[-0.37036097049713135, 0.03219806030392647, 0.4830171465873718] mean_base_height=0.1886
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7511644959449768, -0.7548268437385559, -0.7224507927894592, -0.08063312619924545, 0.7201441526412964, 0.7267947196960449, -0.2242492437362671, 0.08979915082454681, 0.5009207725524902, 0.5719392895698547, 0.5162836313247681, 1.24303138256073, -0.37822046875953674, 0.4145464599132538, 0.5478588342666626, -0.13347041606903076, 0.33558645844459534, 0.89541095495224] lin_vel_b=[0.07377708703279495, -0.06172163039445877, 0.007768575102090836] ang_vel_b=[-0.12472232431173325, 0.19768401980400085, 0.09196016192436218] mean_base_height=0.1874
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7492810487747192, -0.7535216808319092, -0.7171863913536072, 0.06246889382600784, 0.7082037925720215, 0.728948175907135, -0.19565728306770325, 0.01046293880790472, 0.5701382756233215, 0.4225005805492401, 0.4629063606262207, 1.2366195917129517, -0.35477927327156067, 0.37664058804512024, 0.6224347949028015, -0.17846886813640594, 0.282183438539505, 0.938828706741333] lin_vel_b=[0.07930479943752289, -0.014668591320514679, 0.08947550505399704] ang_vel_b=[0.37228432297706604, -0.18169301748275757, -0.018763743340969086] mean_base_height=0.1876
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7536506652832031, -0.7352563142776489, -0.7326171398162842, -0.12814590334892273, 0.7239436507225037, 0.7349814772605896, -0.10922709852457047, 0.17802852392196655, 0.4554980993270874, 0.646782636642456, 0.6577484011650085, 1.24612557888031, -0.3043392300605774, 0.5424322485923767, 0.48722001910209656, -0.0344114750623703, 0.4380998909473419, 0.9301689267158508] lin_vel_b=[0.0817023366689682, -0.07200433313846588, 0.04910051450133324] ang_vel_b=[-0.15262210369110107, 0.22182199358940125, 0.38498374819755554] mean_base_height=0.1904
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7531967759132385, -0.7388761639595032, -0.7268240451812744, -0.1866752803325653, 0.7167999744415283, 0.7312714457511902, -0.09083255380392075, 0.26110395789146423, 0.43324199318885803, 0.7497379779815674, 0.6146473288536072, 1.241520881652832, -0.2772212326526642, 0.7675368189811707, 0.36436760425567627, 0.053772736340761185, 0.355039119720459, 0.9151989221572876] lin_vel_b=[0.0732869803905487, -0.10822853446006775, -0.038973119109869] ang_vel_b=[-0.16096428036689758, 0.23929378390312195, 0.29554787278175354] mean_base_height=0.1900
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7510782480239868, -0.7458281517028809, -0.7266694903373718, -0.14882807433605194, 0.7134517431259155, 0.7416369318962097, -0.15656529366970062, 0.18723434209823608, 0.47050532698631287, 0.8374213576316833, 0.6000403761863708, 1.24586021900177, -0.2626398801803589, 0.5782291889190674, 0.4422580301761627, 0.05472946912050247, 0.3704892098903656, 0.9532563090324402] lin_vel_b=[0.08354988694190979, -0.07468213140964508, 0.01838664524257183] ang_vel_b=[-0.2003728747367859, 0.3328249454498291, 0.3052065074443817] mean_base_height=0.1902
