[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.01808258332312107, -0.05522627755999565, 0.09238133579492569, -0.07349704951047897, 0.13799946010112762, 0.08676306903362274, -1.1870344877243042, -1.2940640449523926, -1.1189091205596924, -1.1117949485778809, -1.301326036453247, -1.236336350440979, -0.9489919543266296, -0.9582145810127258, -1.0688769817352295, -1.0134663581848145, -1.031126856803894, -0.8208362460136414] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1705
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5380173921585083, 0.44976627826690674, 0.48934653401374817, 0.14153774082660675, -0.07445228844881058, 0.030887454748153687, -0.9501031637191772, -1.0000693798065186, -0.7274479866027832, -0.8364948630332947, -0.965411901473999, -1.0416676998138428, -1.0808351039886475, -0.8941062092781067, -0.2970505952835083, -1.098813533782959, -1.067777395248413, -0.9635339975357056] lin_vel_b=[0.013708461076021194, -0.0032048667781054974, 0.01780540682375431] ang_vel_b=[-0.010130264796316624, -0.015089542604982853, -0.0002629374503158033] mean_base_height=0.1158
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.02701062709093094, -0.12915396690368652, 0.46022453904151917, -0.06441005319356918, -0.5153363347053528, -0.34829390048980713, -1.0851914882659912, -1.1093298196792603, -1.3079965114593506, -1.139549732208252, -1.297753930091858, -1.2961679697036743, -1.258071780204773, -1.3102946281433105, -1.3792893886566162, -1.147089958190918, -1.339760661125183, -1.3621137142181396] lin_vel_b=[0.0970769003033638, 0.05847245454788208, -0.03428761661052704] ang_vel_b=[0.13768842816352844, -0.09833337366580963, 0.1787896305322647] mean_base_height=0.1074
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.2067600041627884, -0.2308468073606491, -0.2803221642971039, 0.22488903999328613, 0.5026622414588928, -0.17382484674453735, -1.3406161069869995, -1.3201627731323242, -1.322832703590393, -1.4090025424957275, -1.4133048057556152, -1.2872928380966187, -1.5261510610580444, -1.437766432762146, -1.4740654230117798, -1.543648600578308, -1.5108330249786377, -1.255361557006836] lin_vel_b=[0.06910239905118942, 0.007383081130683422, 0.009800496511161327] ang_vel_b=[0.24554131925106049, -0.19647030532360077, -0.2590881288051605] mean_base_height=0.1040
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.2853153645992279, -0.11463189870119095, -0.3018649220466614, 0.4994436502456665, 0.49860528111457825, -0.4021316170692444, -1.4122538566589355, -1.2643357515335083, -1.2063349485397339, -1.2923829555511475, -1.2869291305541992, -1.2007356882095337, -1.4882267713546753, -1.3956879377365112, -1.5127885341644287, -1.3995482921600342, -1.4995272159576416, -1.3167424201965332] lin_vel_b=[0.06617452949285507, -0.01697363890707493, 0.06720196455717087] ang_vel_b=[0.015111248940229416, -0.05409029871225357, 0.016729282215237617] mean_base_height=0.1050
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.16448859870433807, -0.20920579135417938, -0.11098981648683548, 0.2307482808828354, -0.15323075652122498, -0.47180062532424927, -1.3048161268234253, -1.2802141904830933, -1.2943551540374756, -1.304349422454834, -1.2869219779968262, -1.3492882251739502, -1.4424679279327393, -1.4474499225616455, -1.4783662557601929, -1.3823654651641846, -1.3082889318466187, -1.4256219863891602] lin_vel_b=[0.08827828615903854, 0.0020198076963424683, 0.06942111253738403] ang_vel_b=[-0.06169578805565834, -0.1783294379711151, -0.11068776249885559] mean_base_height=0.1047
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4407191872596741, -0.36953628063201904, 0.22606058418750763, -0.21244864165782928, -0.207562655210495, -0.48634642362594604, -1.3464107513427734, -1.2754136323928833, -1.445435643196106, -1.1657947301864624, -1.1970974206924438, -1.3329882621765137, -1.5002193450927734, -1.2199649810791016, -1.536515474319458, -1.1572643518447876, -1.189569354057312, -1.393376350402832] lin_vel_b=[0.04892657697200775, 0.03786374628543854, 0.02339070662856102] ang_vel_b=[-0.1494838297367096, 0.20054234564304352, 0.09064722061157227] mean_base_height=0.1035
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.2941143810749054, -0.14950008690357208, -0.1790342628955841, -0.3322906494140625, 0.19233736395835876, 0.1743307113647461, -1.0204463005065918, -1.4102699756622314, -1.5093824863433838, -1.1820831298828125, -1.2304408550262451, -1.4221652746200562, -1.122766137123108, -1.3221243619918823, -1.56223464012146, -0.9860603213310242, -1.439636468887329, -1.1834932565689087] lin_vel_b=[0.12470605969429016, -0.005115702748298645, 0.031703881919384] ang_vel_b=[-0.10476212203502655, -0.12713919579982758, -0.03584097698330879] mean_base_height=0.1074
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4229363799095154, 0.1962297111749649, -0.3755165934562683, -0.3346615433692932, 0.3736903965473175, 0.0625496655702591, -1.076439380645752, -1.2134337425231934, -1.3192558288574219, -1.2516952753067017, -1.3740726709365845, -1.1983097791671753, -1.1674286127090454, -1.3125067949295044, -1.5107595920562744, -1.3618396520614624, -1.4896786212921143, -0.9928314089775085] lin_vel_b=[0.12611417472362518, -0.010185688734054565, -0.047468170523643494] ang_vel_b=[-0.004936873912811279, -0.32353368401527405, -0.018214929848909378] mean_base_height=0.1087
