[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.01808258332312107, -0.05522627755999565, 0.09238133579492569, -0.07349704951047897, 0.13799946010112762, 0.08676306903362274, -1.1870344877243042, -1.2940640449523926, -1.1189091205596924, -1.1117949485778809, -1.301326036453247, -1.236336350440979, -0.9489919543266296, -0.9582145810127258, -1.0688769817352295, -1.0134663581848145, -1.031126856803894, -0.8208362460136414] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1731
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4938770532608032, 0.511152446269989, -0.5031002759933472, -0.4970366656780243, -0.5217887163162231, -0.5013872385025024, -0.9027124047279358, -1.0218850374221802, -0.6156279444694519, -0.8185955882072449, -1.0593135356903076, -0.6362530589103699, -0.6752604246139526, -0.6013017296791077, -1.5847697257995605, -1.5089497566223145, -0.805219292640686, -1.573329210281372] lin_vel_b=[-0.0013040992198511958, 0.003412795253098011, 0.01024030800908804] ang_vel_b=[0.06201784685254097, 0.014231402426958084, 0.036667559295892715] mean_base_height=0.1112
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5138515830039978, 0.4967491924762726, 0.48247626423835754, -0.5102231502532959, -0.49538445472717285, -0.5108433961868286, -0.9779810309410095, -0.7659128904342651, -0.9663848280906677, -0.9868342876434326, -0.8334819078445435, -0.9143555164337158, -0.8681504130363464, -0.5554501414299011, -1.0603504180908203, -0.771552562713623, -0.564708948135376, -0.8362457752227783] lin_vel_b=[-0.0011243023909628391, -0.002820446155965328, 0.028989704325795174] ang_vel_b=[0.06876501441001892, 0.004140112549066544, 0.02529560588300228] mean_base_height=0.1082
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.5127248764038086, 0.4974057078361511, 0.4979860484600067, -0.5168217420578003, -0.495975136756897, -0.5060500502586365, -0.9481984972953796, -0.7891055941581726, -1.0146676301956177, -1.0003620386123657, -0.8707313537597656, -0.9629294276237488, -0.8194535970687866, -0.5782714486122131, -1.059892177581787, -0.8087370991706848, -0.6168217062950134, -0.8737610578536987] lin_vel_b=[0.008664767257869244, -0.009769328869879246, 0.014480968937277794] ang_vel_b=[-0.151474267244339, -0.12839603424072266, 0.12159238010644913] mean_base_height=0.1111
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.49461328983306885, 0.5177194476127625, 0.49064624309539795, -0.4901247024536133, -0.4730176627635956, -0.5160629749298096, -1.0339305400848389, -0.9603349566459656, -1.0073959827423096, -0.9509921669960022, -0.9071755409240723, -0.830844521522522, -1.1934185028076172, -0.9549541473388672, -1.202594518661499, -1.2096836566925049, -0.9899080395698547, -1.2576946020126343] lin_vel_b=[0.001981777837499976, -0.008898543193936348, 0.032265257090330124] ang_vel_b=[0.0014814743772149086, -0.09867067635059357, 0.010218186303973198] mean_base_height=0.1118
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.1791442185640335, 0.33692502975463867, 0.47583532333374023, 0.2583431899547577, -0.23592226207256317, 0.13276459276676178, -0.9660059809684753, -1.3104941844940186, -1.0990320444107056, -0.970920741558075, -1.0820900201797485, -1.4175540208816528, -1.2336639165878296, -1.3203835487365723, -0.8524460792541504, -0.9354270696640015, -1.185880422592163, -1.4121495485305786] lin_vel_b=[0.1714552938938141, -0.020735006779432297, 0.024976829066872597] ang_vel_b=[-0.12260519713163376, -0.11380855739116669, 0.139320507645607] mean_base_height=0.1070
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.2546194791793823, -0.16417936980724335, 0.4235958158969879, 0.38770949840545654, -0.2880093455314636, 0.134810671210289, -1.0439494848251343, -1.1931596994400024, -1.079857349395752, -0.9470772743225098, -1.081802487373352, -1.2571433782577515, -1.1892387866973877, -1.281928300857544, -0.8692384958267212, -1.0605989694595337, -1.219382882118225, -1.379111886024475] lin_vel_b=[0.11299967020750046, 0.0009659752249717712, -0.09810566157102585] ang_vel_b=[0.05107539892196655, 0.33860957622528076, -0.1470688134431839] mean_base_height=0.1088
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.2544505298137665, -0.3182636797428131, 0.4476296901702881, 0.381094366312027, -0.2585943341255188, 0.22859321534633636, -0.9941961169242859, -1.2976183891296387, -1.0854288339614868, -1.007434606552124, -1.0333858728408813, -1.3313887119293213, -1.2749353647232056, -1.3272855281829834, -0.9154903292655945, -1.0830390453338623, -1.2204289436340332, -1.3625627756118774] lin_vel_b=[0.13486580550670624, 0.004306279122829437, 0.028452662751078606] ang_vel_b=[0.006947040557861328, -0.0684216320514679, 0.027289804071187973] mean_base_height=0.1087
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.20253051817417145, -0.3164782226085663, 0.44791314005851746, 0.39994433522224426, -0.24148546159267426, 0.2745784819126129, -0.9897361993789673, -1.277708649635315, -1.11176335811615, -0.9955481290817261, -1.0723117589950562, -1.3699374198913574, -1.2495574951171875, -1.2553189992904663, -0.913122832775116, -1.0614299774169922, -1.2409708499908447, -1.3569523096084595] lin_vel_b=[0.15053117275238037, 0.0031191930174827576, 0.026223160326480865] ang_vel_b=[-0.059925153851509094, -0.10944552719593048, -0.030299915000796318] mean_base_height=0.1072
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.10400372743606567, -0.2565014064311981, 0.4120989739894867, 0.3886144459247589, -0.13567662239074707, 0.13364259898662567, -1.1033977270126343, -1.1510450839996338, -1.211258053779602, -0.9521994590759277, -1.1826838254928589, -1.2710939645767212, -1.207526445388794, -1.2797740697860718, -1.051706314086914, -1.2373199462890625, -1.2895015478134155, -1.318518042564392] lin_vel_b=[0.17322692275047302, 0.01433447003364563, 0.03549587354063988] ang_vel_b=[0.18149439990520477, -0.006407633423805237, -0.044077318161726] mean_base_height=0.1062
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.24268734455108643, -0.2997898459434509, 0.42126402258872986, 0.4018203914165497, -0.24829961359500885, 0.1577439308166504, -1.0471409559249878, -1.254296064376831, -1.171211838722229, -0.9806174635887146, -1.1238837242126465, -1.288144826889038, -1.2317752838134766, -1.283250331878662, -0.950466513633728, -1.0928951501846313, -1.289377212524414, -1.3062928915023804] lin_vel_b=[0.15034987032413483, 0.0022035837173461914, -0.053266607224941254] ang_vel_b=[-0.015684500336647034, -0.04496908560395241, 0.10167083889245987] mean_base_height=0.1065
