step	log_std_min	log_std_mean	log_std_max	std_min	std_mean	std_max	entropy_loss	learning_rate	tensorboard_std_mean
120	-1.999314	-1.997509	-1.995949	0.135428	0.135673	0.135885	0.05207662433385849	2.6337448559670777e-05	0.13567230105400085
240	-1.999582	-1.997211	-1.994697	0.135392	0.135713	0.136055	0.05204641092568636	3.9506172839506166e-05	0.13571302592754364
360	-1.999822	-1.997080	-1.994267	0.135359	0.135731	0.136113	0.05203613415360451	2.6337448559670777e-05	0.13573071360588074
480	-1.998973	-1.996513	-1.993376	0.135474	0.135808	0.136235	0.051988304033875464	2.6337448559670777e-05	0.1358073353767395
600	-1.999138	-1.996073	-1.992433	0.135452	0.135868	0.136363	0.051945382915437224	3.9506172839506166e-05	0.13586749136447906
720	-1.998524	-1.995505	-1.991166	0.135535	0.135945	0.136536	0.051893656328320506	3.9506172839506166e-05	0.13594497740268707
840	-1.998449	-1.994951	-1.989836	0.135545	0.136021	0.136718	0.05184628665447235	3.9506172839506166e-05	0.1360200196504593
960	-1.997938	-1.994242	-1.988523	0.135615	0.136117	0.136897	0.05178488958626985	2.6337448559670777e-05	0.13611623644828796
1080	-1.998730	-1.994011	-1.988117	0.135507	0.136149	0.136953	0.05175719652324915	2.6337448559670777e-05	0.13614852726459503
1200	-1.999088	-1.993919	-1.987569	0.135459	0.136162	0.137028	0.051748960837721826	3.9506172839506166e-05	0.13616138696670532
1320	-1.999453	-1.993510	-1.987496	0.135409	0.136217	0.137038	0.05171531829982996	2.6337448559670777e-05	0.1362166404724121
1440	-1.999990	-1.993362	-1.987721	0.135337	0.136237	0.137007	0.051701161451637744	3.9506172839506166e-05	0.13623681664466858
1560	-2.000040	-1.993026	-1.986905	0.135330	0.136283	0.137119	0.051667895168066025	3.9506172839506166e-05	0.13628335297107697
1680	-2.000060	-1.992696	-1.985286	0.135327	0.136328	0.137341	0.05164042599499226	3.9506172839506166e-05	0.13632765412330627
1800	-2.001105	-1.992563	-1.984562	0.135186	0.136346	0.137441	0.05162848066538572	5.925925925925925e-05	0.13634617626667023
1920	-2.001617	-1.992340	-1.983914	0.135117	0.136377	0.137530	0.051610789448022845	3.9506172839506166e-05	0.13637617230415344
2040	-2.001024	-1.991781	-1.983431	0.135197	0.136453	0.137596	0.05156109407544136	5.925925925925925e-05	0.13645265996456146
2160	-2.002107	-1.991400	-1.981040	0.135050	0.136506	0.137926	0.05151934195309878	3.9506172839506166e-05	0.13650605082511902
2280	-2.003940	-1.991480	-1.980912	0.134803	0.136495	0.137943	0.05152929425239563	3.9506172839506166e-05	0.13649503886699677
2400	-2.004589	-1.991207	-1.980461	0.134716	0.136533	0.138006	0.05150609165430069	3.9506172839506166e-05	0.13653254508972168
2520	-2.004308	-1.990184	-1.977630	0.134753	0.136673	0.138397	0.05143000818789005	3.9506172839506166e-05	0.1366710066795349
2640	-2.004296	-1.989837	-1.977284	0.134755	0.136721	0.138445	0.05138217564672232	3.9506172839506166e-05	0.13672083616256714
2760	-2.004793	-1.989598	-1.977168	0.134688	0.136754	0.138461	0.051355444639921186	5.925925925925925e-05	0.13675473630428314
2880	-2.004924	-1.989752	-1.978182	0.134671	0.136733	0.138320	0.051367972232401374	3.9506172839506166e-05	0.1367342472076416
3000	-2.006666	-1.989645	-1.976056	0.134436	0.136749	0.138615	0.05136729348450899	5.925925925925925e-05	0.13674817979335785
3120	-2.006797	-1.989649	-1.976209	0.134419	0.136749	0.138594	0.05136239286512136	3.9506172839506166e-05	0.13674888014793396
3240	-2.008628	-1.989306	-1.976421	0.134173	0.136796	0.138564	0.05134017039090395	5.925925925925925e-05	0.136795312166214
3360	-2.011372	-1.989149	-1.976645	0.133805	0.136819	0.138533	0.051316375844180584	3.9506172839506166e-05	0.13681919872760773
3480	-2.013754	-1.988867	-1.977212	0.133487	0.136858	0.138455	0.051299451291561125	2.6337448559670777e-05	0.13685765862464905
3600	-2.015371	-1.988745	-1.976831	0.133271	0.136876	0.138507	0.05128229800611735	5.925925925925925e-05	0.13687606155872345
3720	-2.016608	-1.988998	-1.977555	0.133106	0.136842	0.138407	0.05130156707018614	5.925925925925925e-05	0.1368429958820343
3840	-2.018607	-1.989092	-1.975694	0.132840	0.136831	0.138665	0.05131310727447271	5.925925925925925e-05	0.13683131337165833
3960	-2.021196	-1.988848	-1.972648	0.132497	0.136867	0.139088	0.05128802414983511	3.9506172839506166e-05	0.13686758279800415
4080	-2.024147	-1.989005	-1.972280	0.132106	0.136848	0.139139	0.05130221955478191	3.9506172839506166e-05	0.1368483304977417
4200	-2.025396	-1.988860	-1.971179	0.131942	0.136869	0.139293	0.05129580944776535	5.925925925925925e-05	0.13686877489089966
4320	-2.027539	-1.988787	-1.970885	0.131659	0.136881	0.139333	0.05128816440701485	5.925925925925925e-05	0.13688090443611145
4440	-2.030221	-1.988849	-1.970251	0.131306	0.136875	0.139422	0.05128675065934658	5.925925925925925e-05	0.13687554001808167
4560	-2.031672	-1.988624	-1.969977	0.131116	0.136908	0.139460	0.0512744577601552	5.925925925925925e-05	0.13690811395645142
4680	-2.032809	-1.988414	-1.969542	0.130967	0.136939	0.139521	0.05125572010874748	2.6337448559670777e-05	0.1369393765926361
4800	-2.035716	-1.988217	-1.969716	0.130587	0.136969	0.139497	0.05124530121684075	5.925925925925925e-05	0.1369674950838089
4920	-2.037985	-1.988442	-1.967851	0.130291	0.136942	0.139757	0.051253757812082766	5.925925925925925e-05	0.1369415819644928
5040	-2.040377	-1.988534	-1.968077	0.129980	0.136933	0.139725	0.05126573946326971	3.9506172839506166e-05	0.13693225383758545
5160	-2.041295	-1.988235	-1.968131	0.129860	0.136975	0.139718	0.05123529750853777	3.9506172839506166e-05	0.1369752585887909
