[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.09246624261140823, -0.042534422129392624, -0.26438459753990173, 0.01451838668435812, -0.012086640112102032, -0.05797257646918297, -1.2622851133346558, -1.232838749885559, -1.307454228401184, -1.2363144159317017, -1.3671051263809204, -0.9734495878219604, -0.9688315391540527, -1.0184189081192017, -0.8713357448577881, -0.8818047046661377, -1.01270592212677, -0.8783109188079834] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1702
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.06742321699857712, -0.15769065916538239, -0.20262083411216736, -0.1876685619354248, -0.18427084386348724, -0.03919462487101555, -1.1432390213012695, -1.2933433055877686, -1.1845968961715698, -1.2076512575149536, -1.1452020406723022, -1.1275897026062012, -1.2354662418365479, -1.4659618139266968, -1.339205026626587, -1.2581688165664673, -1.319559097290039, -1.1727312803268433] lin_vel_b=[-0.001947449054569006, 0.010963218286633492, -0.056867726147174835] ang_vel_b=[-0.18729184567928314, -0.09318970143795013, 0.029691029340028763] mean_base_height=0.1079
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.0586530938744545, -0.07803115993738174, -0.38554176688194275, 0.6001389622688293, -0.25375524163246155, 0.36786285042762756, -1.3157384395599365, -1.3854249715805054, -1.1344398260116577, -1.4169615507125854, -1.1189855337142944, -1.1177101135253906, -1.3203482627868652, -1.3134297132492065, -1.213265299797058, -1.3776485919952393, -1.3141335248947144, -1.2314449548721313] lin_vel_b=[0.012870313599705696, -0.01818680763244629, -0.00568826450034976] ang_vel_b=[-0.11133008450269699, 0.06516753882169724, -0.07426507771015167] mean_base_height=0.1080
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.06945957243442535, 0.17852510511875153, -0.6112980246543884, 0.7015678882598877, -0.07618972659111023, 0.45479816198349, -0.9772951006889343, -1.225690484046936, -1.0166224241256714, -0.9930354356765747, -0.9775676131248474, -1.0793263912200928, -1.181039810180664, -1.130069375038147, -1.2535202503204346, -1.1685211658477783, -1.2675302028656006, -1.3077431917190552] lin_vel_b=[0.05380716174840927, 0.01816675253212452, -0.001393045880831778] ang_vel_b=[0.02545517310500145, 0.05687718465924263, -0.00553559698164463] mean_base_height=0.1134
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.37869513034820557, -0.012333422899246216, -0.6165975332260132, 0.7389054298400879, 0.3841678500175476, 0.34226104617118835, -0.9538343548774719, -0.9495628476142883, -1.1819367408752441, -0.7744414210319519, -1.1311753988265991, -1.146498680114746, -1.181825041770935, -1.0918558835983276, -1.4102466106414795, -1.004705786705017, -1.3178068399429321, -1.307307243347168] lin_vel_b=[0.07023733854293823, -0.0018880553543567657, 0.037968285381793976] ang_vel_b=[-0.026343179866671562, 0.01950519159436226, 0.06796660274267197] mean_base_height=0.1135
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.31072425842285156, -0.29756003618240356, -0.5429192185401917, -0.21404071152210236, 0.5267560482025146, 0.17372725903987885, -0.8950120806694031, -0.8892627358436584, -1.0603762865066528, -0.8122640252113342, -0.9642258286476135, -1.0248316526412964, -1.0476654767990112, -1.2015405893325806, -1.2880624532699585, -1.1061636209487915, -1.1765943765640259, -1.2226792573928833] lin_vel_b=[0.0996435135602951, 0.0009313300251960754, -0.026408223435282707] ang_vel_b=[-0.02829311043024063, 0.029755711555480957, 0.07585416734218597] mean_base_height=0.1138
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.1817968189716339, -0.031681377440690994, -0.3282419443130493, 0.06501461565494537, 0.19092153012752533, 0.21110080182552338, -1.1256046295166016, -1.1873873472213745, -1.1115978956222534, -1.1483418941497803, -1.0901567935943604, -1.0887901782989502, -1.2514303922653198, -1.2309435606002808, -1.288142204284668, -1.1599962711334229, -1.2827014923095703, -1.2375746965408325] lin_vel_b=[0.07069778442382812, 0.01956848055124283, -0.07845152169466019] ang_vel_b=[0.06576526165008545, -0.1625749170780182, 0.01612020842730999] mean_base_height=0.1105
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.1337883025407791, -0.018624376505613327, -0.005878343712538481, 0.39285847544670105, 0.047499388456344604, -0.06648123264312744, -1.2520341873168945, -1.4442394971847534, -1.2354867458343506, -1.1896699666976929, -1.1128467321395874, -1.2823997735977173, -1.4288592338562012, -1.3121962547302246, -1.2542097568511963, -1.1878268718719482, -1.2145425081253052, -1.3273729085922241] lin_vel_b=[0.06892525404691696, 0.017033852636814117, -0.010958409868180752] ang_vel_b=[0.024777453392744064, 0.0014961650595068932, 0.02331123873591423] mean_base_height=0.1091
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.16484014689922333, -0.6991187930107117, 0.20714883506298065, -0.3265295922756195, -0.07230709493160248, -0.5053275227546692, -1.3192083835601807, -1.2915785312652588, -1.0860530138015747, -1.4506529569625854, -1.293952465057373, -1.356553554534912, -1.4556126594543457, -1.1520087718963623, -1.2058302164077759, -1.3908414840698242, -1.3557435274124146, -1.4493732452392578] lin_vel_b=[0.09602712094783783, 0.006458811461925507, 0.03144758939743042] ang_vel_b=[0.051800813525915146, 0.10741772502660751, -0.11655670404434204] mean_base_height=0.1084
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.6719658970832825, -0.18610480427742004, 0.13272064924240112, 0.7465100884437561, -0.10974999517202377, -0.72979736328125, -1.1444388628005981, -0.994015097618103, -1.1340441703796387, -1.1117973327636719, -1.402335286140442, -1.2577788829803467, -1.323659896850586, -1.242354393005371, -1.3324466943740845, -1.3512789011001587, -1.4917393922805786, -1.3412729501724243] lin_vel_b=[0.09862179309129715, -0.004096904769539833, 0.09419647604227066] ang_vel_b=[-0.023160872980952263, 0.04827486351132393, 0.0030779289081692696] mean_base_height=0.1090
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7315846681594849, 0.1527993381023407, 0.009170749224722385, 0.7557299733161926, -0.1865815371274948, -0.7180554866790771, -1.000769853591919, -0.9411223530769348, -1.1425262689590454, -0.9174407720565796, -1.215988039970398, -1.1924821138381958, -1.0313125848770142, -1.1399887800216675, -1.1672229766845703, -1.2761527299880981, -1.2642133235931396, -1.323751449584961] lin_vel_b=[0.10085810720920563, -0.01171911507844925, 0.04321274906396866] ang_vel_b=[0.0872177928686142, -0.07742752879858017, 0.02564096450805664] mean_base_height=0.1112
[JOINT_STATE step=550000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7446035146713257, -0.07702711224555969, 0.26997774839401245, 0.7457029223442078, -0.3774590790271759, -0.7470793724060059, -0.9461251497268677, -1.0201945304870605, -1.0540822744369507, -1.0484849214553833, -1.168005347251892, -1.294628381729126, -1.193223237991333, -1.3158049583435059, -1.1421220302581787, -1.187481164932251, -1.2661188840866089, -1.3757643699645996] lin_vel_b=[0.11613918840885162, -0.01075352169573307, -0.015743819996714592] ang_vel_b=[-0.001175489742308855, 0.019036365672945976, 0.08900382369756699] mean_base_height=0.1085
[JOINT_STATE step=600000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.7455497980117798, -0.4666125178337097, -0.12365485727787018, 0.7584635019302368, -0.19625891745090485, -0.7276738286018372, -1.3336477279663086, -1.2157700061798096, -1.2119359970092773, -1.2334672212600708, -1.5920095443725586, -1.3654532432556152, -1.1102591753005981, -1.3520108461380005, -1.1878257989883423, -1.4469064474105835, -1.4728631973266602, -1.4400396347045898] lin_vel_b=[0.10026928037405014, -0.009982593357563019, 0.11180979013442993] ang_vel_b=[-0.0853407233953476, 0.014912262558937073, -0.024479025974869728] mean_base_height=0.1066
[JOINT_STATE step=1000000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.2544097304344177, -0.07163488864898682, -0.04933689162135124, 0.012671055272221565, 0.010135657154023647, -0.04035325348377228, -1.109774112701416, -1.1190071105957031, -1.2688379287719727, -1.186275601387024, -1.0962260961532593, -1.19074547290802, -1.0375182628631592, -1.0090817213058472, -0.7936093807220459, -1.1816376447677612, -1.0271880626678467, -0.9718873500823975] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1652
