[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.01808258332312107, -0.05522627755999565, 0.09238133579492569, -0.07349704951047897, 0.13799946010112762, 0.08676306903362274, -1.1870344877243042, -1.2940640449523926, -1.1189091205596924, -1.1117949485778809, -1.301326036453247, -1.236336350440979, -0.9489919543266296, -0.9582145810127258, -1.0688769817352295, -1.0134663581848145, -1.031126856803894, -0.8208362460136414] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1731
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.47958874702453613, -0.51069176197052, 0.489543080329895, 0.09330993890762329, 0.478182852268219, 0.4942968189716339, -1.001333475112915, -1.0546157360076904, -0.9653332829475403, -1.0810189247131348, -1.004902958869934, -0.9903066158294678, -1.3277660608291626, -1.2069263458251953, -1.0097497701644897, -1.2486538887023926, -1.2339625358581543, -1.199951410293579] lin_vel_b=[-0.0065225400030612946, 0.003056094516068697, 0.02346942387521267] ang_vel_b=[-0.02451661042869091, -0.003726460039615631, -0.09343723952770233] mean_base_height=0.1137
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4965585768222809, 0.4949924647808075, 0.48695310950279236, -0.48884522914886475, -0.49819469451904297, 0.48534566164016724, -1.0772244930267334, -1.2309843301773071, -1.0252490043640137, -1.1934820413589478, -0.8498762249946594, -1.1707737445831299, -1.1467509269714355, -1.3323860168457031, -1.213821291923523, -1.3421646356582642, -1.4476875066757202, -1.457577109336853] lin_vel_b=[-0.004390484653413296, -0.006442485377192497, 0.019712286069989204] ang_vel_b=[0.037946950644254684, 0.012427719309926033, -0.006188315339386463] mean_base_height=0.1119
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4980080723762512, -0.5005784630775452, 0.5291303396224976, -0.5084332823753357, -0.5372548699378967, 0.4337150752544403, -1.0702067613601685, -1.3527113199234009, -1.0494155883789062, -1.193901538848877, -1.0862866640090942, -1.319639801979065, -1.353078842163086, -1.3896843194961548, -0.9618338942527771, -1.289962887763977, -1.114052176475525, -1.460437297821045] lin_vel_b=[0.019588204100728035, 0.006723165512084961, 0.04596591740846634] ang_vel_b=[0.015406785532832146, -0.005839966237545013, 0.07505980134010315] mean_base_height=0.1095
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.49943068623542786, -0.49884068965911865, 0.5343443751335144, -0.4530496597290039, -0.5462793707847595, 0.38143473863601685, -1.0282797813415527, -1.4514726400375366, -1.0806515216827393, -1.452118158340454, -1.0566447973251343, -1.4177892208099365, -1.3668783903121948, -1.4510008096694946, -1.0503695011138916, -1.446273922920227, -1.033052682876587, -1.4075665473937988] lin_vel_b=[0.04223497956991196, 0.02501138113439083, 0.025146733969449997] ang_vel_b=[0.12295059859752655, 0.05716802179813385, -0.0863804966211319] mean_base_height=0.1074
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.49659591913223267, -0.49459439516067505, 0.536626398563385, -0.45975616574287415, -0.564741313457489, 0.46426013112068176, -0.9637088775634766, -1.5684542655944824, -1.0068401098251343, -1.5328123569488525, -1.039572834968567, -1.5519795417785645, -1.337433099746704, -1.430660367012024, -0.956972062587738, -1.3612046241760254, -0.9156967997550964, -1.452555775642395] lin_vel_b=[0.06784342229366302, 0.01323588564991951, 0.009775824844837189] ang_vel_b=[0.03319577872753143, -0.05295038968324661, -0.04912494868040085] mean_base_height=0.1093
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4997715950012207, -0.48851892352104187, 0.5005204081535339, -0.48158490657806396, -0.5275047421455383, 0.4198046922683716, -1.0265917778015137, -1.2907160520553589, -1.1063662767410278, -1.2423622608184814, -1.0594730377197266, -1.2999217510223389, -1.2757352590560913, -1.3449337482452393, -1.1179908514022827, -1.2781355381011963, -1.0955435037612915, -1.3048591613769531] lin_vel_b=[0.033426683396101, 0.019534572958946228, 0.0430331788957119] ang_vel_b=[-0.007705673575401306, 0.07472787797451019, -0.06511946767568588] mean_base_height=0.1093
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4973256289958954, -0.28492477536201477, 0.5232946276664734, -0.5305129289627075, -0.5251249670982361, 0.19705255329608917, -1.0966436862945557, -1.168410301208496, -1.1971288919448853, -1.1115702390670776, -1.1166956424713135, -1.2577733993530273, -1.3362890481948853, -1.4414080381393433, -1.0956697463989258, -1.2343058586120605, -1.0842043161392212, -1.3338655233383179] lin_vel_b=[0.12637561559677124, -0.005320310592651367, -0.009912775829434395] ang_vel_b=[-0.04847050830721855, 0.07340379059314728, 0.08169595897197723] mean_base_height=0.1062
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.5027254223823547, -0.20575080811977386, 0.5134810209274292, -0.5211531519889832, -0.19228610396385193, 0.20911431312561035, -1.0935804843902588, -1.2072235345840454, -1.1668249368667603, -1.1049821376800537, -1.1481959819793701, -1.1954387426376343, -1.2905460596084595, -1.4213597774505615, -1.0643290281295776, -1.3204834461212158, -1.187627911567688, -1.184790849685669] lin_vel_b=[0.11167538911104202, 0.0008739084005355835, 0.010323397815227509] ang_vel_b=[0.07261494547128677, 0.051125023514032364, 0.2102922946214676] mean_base_height=0.1075
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4898582994937897, -0.38628673553466797, 0.5281298160552979, -0.5097450613975525, -0.48951709270477295, 0.3904780149459839, -1.0000983476638794, -1.2651011943817139, -1.035664677619934, -1.1458278894424438, -1.0311335325241089, -1.3622075319290161, -1.3629230260849, -1.4666110277175903, -0.803154468536377, -1.300826072692871, -0.8233581185340881, -1.4233101606369019] lin_vel_b=[0.11209362000226974, -0.0007773237302899361, -0.025634534657001495] ang_vel_b=[-0.20179149508476257, 0.07847680151462555, 0.0014591279905289412] mean_base_height=0.1081
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.49701106548309326, -0.2542855143547058, 0.5126742124557495, -0.5288407802581787, -0.35756516456604004, 0.19469456374645233, -1.1124072074890137, -1.135870337486267, -1.1625922918319702, -1.0474040508270264, -1.076184630393982, -1.128153681755066, -1.2893166542053223, -1.4101368188858032, -1.046236276626587, -1.2687702178955078, -0.9900882840156555, -1.2233647108078003] lin_vel_b=[0.10116002708673477, -0.001852378249168396, 0.04942428320646286] ang_vel_b=[0.005426195450127125, -0.013266412541270256, -0.09136253595352173] mean_base_height=0.1080
