[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.09246624261140823, -0.042534422129392624, -0.26438459753990173, 0.01451838668435812, -0.012086640112102032, -0.05797257646918297, -1.2622851133346558, -1.232838749885559, -1.307454228401184, -1.2363144159317017, -1.3671051263809204, -0.9734495878219604, -0.9688315391540527, -1.0184189081192017, -0.8713357448577881, -0.8818047046661377, -1.01270592212677, -0.8783109188079834] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.2802
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.1712782233953476, 0.26276087760925293, 0.23630096018314362, -0.0176252368837595, -0.22109484672546387, -0.3226751685142517, -1.3076776266098022, -1.2503068447113037, -1.3172240257263184, -1.2570154666900635, -1.2545491456985474, -1.1811180114746094, -1.1293786764144897, -1.053977608680725, -0.9500933289527893, -0.8818845748901367, -1.2271875143051147, -0.9118816256523132] lin_vel_b=[0.016439497470855713, -0.006894322112202644, -1.3779786825180054] ang_vel_b=[-0.02489090897142887, 0.005198163911700249, 0.07280223071575165] mean_base_height=0.2080
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.09034750610589981, 0.2449045032262802, 0.04293694347143173, -0.2892988622188568, -0.22890080511569977, -0.1578414887189865, -1.2572712898254395, -1.0635271072387695, -1.3602278232574463, -1.2590008974075317, -1.2065784931182861, -1.241628885269165, -1.0682957172393799, -0.8413733243942261, -1.0258402824401855, -1.1162816286087036, -1.0511584281921387, -1.0249234437942505] lin_vel_b=[0.017632540315389633, 0.008239811286330223, -1.5738176107406616] ang_vel_b=[0.09021807461977005, -0.02684229612350464, 0.153166264295578] mean_base_height=0.2032
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.298859566450119, 0.29612812399864197, 0.26812994480133057, -0.36024904251098633, -0.28424277901649475, -0.23092786967754364, -1.1796623468399048, -1.0441592931747437, -1.3323347568511963, -1.2455700635910034, -1.0314388275146484, -1.2004814147949219, -0.9785897135734558, -0.8892481327056885, -0.8951712250709534, -0.9949137568473816, -0.988675057888031, -1.0429209470748901] lin_vel_b=[0.057719066739082336, 0.02050684206187725, -1.568169355392456] ang_vel_b=[-0.0058746482245624065, -0.061711814254522324, -0.025882868096232414] mean_base_height=0.2094
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.062331169843673706, -0.010998032055795193, -0.05089465528726578, -0.09836898744106293, -0.09763319045305252, 0.2077045887708664, -1.2410593032836914, -1.013455867767334, -1.1758254766464233, -1.2521673440933228, -1.1258904933929443, -1.1569627523422241, -0.9884532690048218, -0.8621201515197754, -1.0279215574264526, -0.9007094502449036, -1.2044293880462646, -1.0474368333816528] lin_vel_b=[-0.02210652455687523, -0.0137826818972826, -0.3834272027015686] ang_vel_b=[-0.1574113517999649, 0.027303176000714302, -0.0016834000125527382] mean_base_height=0.2127
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.2173716127872467, -0.17804859578609467, -0.2871438264846802, -0.1621159315109253, 0.2189209759235382, 0.28355124592781067, -1.4085015058517456, -1.4866365194320679, -1.132535696029663, -1.3996262550354004, -1.4643933773040771, -1.4262993335723877, -0.8022094368934631, -0.8185445666313171, -0.8496183156967163, -0.8748139142990112, -0.9600934386253357, -0.9422947764396667] lin_vel_b=[-0.028483867645263672, 0.01638203300535679, -1.7683764696121216] ang_vel_b=[0.10656177997589111, 0.12995778024196625, 0.3066338300704956] mean_base_height=0.2085
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.5013608932495117, -0.4568474292755127, -0.5089123249053955, 0.43768510222435, 0.5344245433807373, 0.46562817692756653, -1.6385732889175415, -1.5785706043243408, -0.8451679944992065, -1.6853760480880737, -1.6703871488571167, -1.6131153106689453, -0.4928627014160156, -0.5712024569511414, -0.44372206926345825, -0.5313349962234497, -0.6377066373825073, -0.5611975789070129] lin_vel_b=[-0.15235859155654907, 0.08689245581626892, -1.933030605316162] ang_vel_b=[3.2032203674316406, 2.9224178791046143, 0.5283551216125488] mean_base_height=0.2050
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.389049768447876, -0.4782125949859619, -0.3683721423149109, 0.2239273190498352, 0.4342184066772461, 0.513092577457428, -1.5061845779418945, -1.4093351364135742, -1.0265581607818604, -1.463883876800537, -1.4915121793746948, -1.4157636165618896, -0.8368566036224365, -0.9115920066833496, -0.7968231439590454, -0.9278177618980408, -0.9109972715377808, -0.9629404544830322] lin_vel_b=[-0.017970003187656403, 0.007605798542499542, -1.7663060426712036] ang_vel_b=[0.17033915221691132, 0.27070343494415283, 0.04271165654063225] mean_base_height=0.2033
[JOINT_STATE step=1000000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.2544097304344177, -0.07163488864898682, -0.04933689162135124, 0.012671055272221565, 0.010135657154023647, -0.04035325348377228, -1.109774112701416, -1.1190071105957031, -1.2688379287719727, -1.186275601387024, -1.0962260961532593, -1.19074547290802, -1.0375182628631592, -1.0090817213058472, -0.7936093807220459, -1.1816376447677612, -1.0271880626678467, -0.9718873500823975] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.2752
