[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.01808258332312107, -0.05522627755999565, 0.09238133579492569, -0.07349704951047897, 0.13799946010112762, 0.08676306903362274, -1.1870344877243042, -1.2940640449523926, -1.1189091205596924, -1.1117949485778809, -1.301326036453247, -1.236336350440979, -0.9489919543266296, -0.9582145810127258, -1.0688769817352295, -1.0134663581848145, -1.031126856803894, -0.8208362460136414] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.1731
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.5066670179367065, -0.4941708743572235, -0.492751806974411, -0.15011051297187805, -0.48597848415374756, -0.499151349067688, -0.9569551348686218, -1.4032361507415771, -0.8821194767951965, -1.0260536670684814, -1.0059303045272827, -0.9730901718139648, -1.0474027395248413, -1.4331469535827637, -1.2188878059387207, -1.2977522611618042, -1.0247418880462646, -1.0062389373779297] lin_vel_b=[-0.0036165989004075527, -0.004967469722032547, 0.025386251509189606] ang_vel_b=[-0.08000992238521576, -0.09950940310955048, -0.04408353567123413] mean_base_height=0.1136
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.49166423082351685, 0.4968682825565338, 0.5246893763542175, 0.48761412501335144, -0.5428183674812317, -0.5122147798538208, -1.0759975910186768, -1.4592267274856567, -1.028934359550476, -1.2578094005584717, -1.2348672151565552, -1.2294049263000488, -1.3317009210586548, -1.4326386451721191, -0.826487123966217, -1.2708945274353027, -1.1662826538085938, -1.1239057779312134] lin_vel_b=[0.04690302163362503, 0.01450233906507492, 0.03555796295404434] ang_vel_b=[0.002203828189522028, 0.002846203278750181, -0.003465461079031229] mean_base_height=0.1045
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.2921200096607208, 0.5134389400482178, 0.505011796951294, 0.474115788936615, -0.5469280481338501, -0.5209312438964844, -1.1689749956130981, -1.3344157934188843, -1.2792139053344727, -1.293031096458435, -1.2947852611541748, -1.4418790340423584, -1.4016313552856445, -1.3424135446548462, -1.063515543937683, -1.4742023944854736, -1.1446633338928223, -1.2955360412597656] lin_vel_b=[0.07172239571809769, 0.0010981822852045298, -0.0594756044447422] ang_vel_b=[-0.029950015246868134, 0.27806177735328674, 0.2579443156719208] mean_base_height=0.1007
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4391222596168518, 0.47356104850769043, 0.4776661992073059, 0.4455364942550659, -0.4020659327507019, -0.4795949161052704, -1.1684246063232422, -1.172201156616211, -1.3200980424880981, -1.234043836593628, -1.35309636592865, -1.3171252012252808, -1.465166449546814, -1.2202513217926025, -1.2270660400390625, -1.5589543581008911, -1.2685531377792358, -1.1816840171813965] lin_vel_b=[0.07746513932943344, -0.05035862699151039, -0.08940189331769943] ang_vel_b=[0.005978062748908997, -0.24146564304828644, 0.005343195516616106] mean_base_height=0.1020
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.32303687930107117, 0.3652295172214508, 0.48928576707839966, 0.401678204536438, -0.4031178951263428, -0.5237183570861816, -1.2473986148834229, -1.171555995941162, -1.158427357673645, -1.2689716815948486, -1.1377966403961182, -1.179189682006836, -1.5026682615280151, -1.168731451034546, -1.1302765607833862, -1.4353828430175781, -1.0710731744766235, -1.1725153923034668] lin_vel_b=[0.12151631712913513, -0.017580416053533554, -0.0014841740485280752] ang_vel_b=[-0.1413661241531372, -0.07917999476194382, -0.015519052743911743] mean_base_height=0.1047
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.32248273491859436, 0.3944946527481079, 0.4961082637310028, 0.3032649755477905, -0.4173837900161743, -0.5220838785171509, -1.275273084640503, -1.196567177772522, -1.1379321813583374, -1.2842754125595093, -1.0681489706039429, -1.1251144409179688, -1.507872223854065, -1.1581511497497559, -1.1409035921096802, -1.40170156955719, -1.0384173393249512, -1.164685845375061] lin_vel_b=[0.11381864547729492, -0.004686594009399414, -0.02815825864672661] ang_vel_b=[0.05500444769859314, -0.04175439849495888, -0.0018050700891762972] mean_base_height=0.1051
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4053932726383209, 0.39307108521461487, 0.4970470368862152, -0.04934823513031006, -0.28084811568260193, -0.5215826630592346, -1.4240074157714844, -1.2494052648544312, -1.2002356052398682, -1.4237462282180786, -1.067139744758606, -1.1825268268585205, -1.4869617223739624, -1.0604119300842285, -1.2628939151763916, -1.5054863691329956, -1.1135748624801636, -1.1036537885665894] lin_vel_b=[0.1129693016409874, -0.009800789877772331, 0.07484649121761322] ang_vel_b=[0.10182815045118332, -0.09367755800485611, 0.04982781037688255] mean_base_height=0.1048
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.43781226873397827, 0.45505017042160034, 0.4424789547920227, -0.08351214230060577, -0.1720116138458252, -0.5326451659202576, -1.520740032196045, -1.2162476778030396, -1.4353649616241455, -1.1158454418182373, -1.3171460628509521, -1.0351954698562622, -1.5270695686340332, -1.2276225090026855, -1.2986360788345337, -1.4190421104431152, -1.1217902898788452, -1.0282559394836426] lin_vel_b=[0.08546382188796997, -0.013618672266602516, 0.007286251988261938] ang_vel_b=[-0.13251689076423645, 0.05600534752011299, -0.004403834231197834] mean_base_height=0.1056
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.4788944721221924, 0.36768287420272827, 0.47593486309051514, -0.10451027005910873, -0.2730026841163635, -0.4970441162586212, -1.4651035070419312, -1.0829626321792603, -1.0874630212783813, -1.4047155380249023, -1.0817890167236328, -1.1502472162246704, -1.4744572639465332, -0.9138001203536987, -1.0737736225128174, -1.5238479375839233, -1.0141668319702148, -1.2802820205688477] lin_vel_b=[0.11185289919376373, -0.015581084415316582, 0.048090942203998566] ang_vel_b=[-0.1350468099117279, -0.08923836052417755, 0.007240277249366045] mean_base_height=0.1032
[JOINT_STATE step=500000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.3123151361942291, 0.2738252878189087, 0.4996051788330078, 0.1140291765332222, -0.42887061834335327, -0.49840855598449707, -1.219513177871704, -1.3807826042175293, -1.1079214811325073, -1.415885329246521, -1.0492820739746094, -1.2600270509719849, -1.4879242181777954, -1.1232742071151733, -1.1095302104949951, -1.4111597537994385, -1.0856136083602905, -1.2323440313339233] lin_vel_b=[0.12499981373548508, 0.006561592221260071, 0.00702898483723402] ang_vel_b=[-0.05240988731384277, -0.18414008617401123, -0.09666452556848526] mean_base_height=0.1055
