[JOINT_STATE step=0] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.09246624261140823, -0.042534422129392624, -0.26438459753990173, 0.01451838668435812, -0.012086640112102032, -0.05797257646918297, 0.43771490454673767, 0.46716129779815674, 0.39254581928253174, 0.4636856019496918, 0.3328949511051178, 0.7265504598617554, 0.5311684608459473, 0.48158109188079834, 0.6286642551422119, 0.6181952953338623, 0.48729407787323, 0.6216890811920166] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.2802
[JOINT_STATE step=50000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.4501683712005615, 0.1520480066537857, -0.6998217105865479, -0.3776114583015442, 0.6795399785041809, -0.3933963179588318, 0.4054206609725952, -0.08905354142189026, 1.7156047821044922, 1.6133055686950684, 1.633732795715332, -0.3779063820838928, 0.5111598372459412, 0.009022393263876438, 2.5299391746520996, 1.890487551689148, -0.020371852442622185, -0.19101624190807343] lin_vel_b=[-0.0022346358746290207, -0.01842491701245308, -0.014098233543336391] ang_vel_b=[0.04264464229345322, 0.3052101135253906, -0.0926956906914711] mean_base_height=0.1620
[JOINT_STATE step=100000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.5408607125282288, 0.46188753843307495, 0.33926329016685486, -0.12604153156280518, 0.32536670565605164, -0.41149136424064636, 1.4868217706680298, -1.1586179733276367, 1.2134430408477783, 1.2091217041015625, 1.6499924659729004, -0.4613748788833618, 2.4622819423675537, -0.6407925486564636, 2.6817286014556885, 1.3670985698699951, 0.12395191192626953, 0.26401248574256897] lin_vel_b=[-0.018676359206438065, 0.012096783146262169, 0.009325566701591015] ang_vel_b=[-0.22161197662353516, 0.08815957605838776, 0.10875000059604645] mean_base_height=0.1285
[JOINT_STATE step=150000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.8151331543922424, 0.5267003774642944, 0.1830924153327942, -0.775016725063324, 0.17837229371070862, -0.05120224505662918, 1.0547376871109009, -0.506676197052002, 0.8988765478134155, 0.04043031483888626, 0.9076641798019409, -0.7686906456947327, 2.524827003479004, 0.49593624472618103, 2.319490671157837, 0.5909513831138611, -0.6567469239234924, -0.45407965779304504] lin_vel_b=[0.07991392910480499, -0.06460446864366531, -0.02064996026456356] ang_vel_b=[-0.4967747926712036, -0.6630010008811951, 0.02435184270143509] mean_base_height=0.1457
[JOINT_STATE step=200000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.0833476260304451, 0.6495792269706726, -0.4504440724849701, -0.4877198040485382, 0.2700791656970978, 0.6775455474853516, 1.0557804107666016, 0.7978602647781372, 1.4198551177978516, -0.7227524518966675, 0.8890831470489502, -0.9880035519599915, 2.4224331378936768, 2.229700803756714, 2.877133846282959, -0.6828672885894775, -0.6986067295074463, -1.027663230895996] lin_vel_b=[0.09109462052583694, -0.0031380029395222664, -0.0008783707162365317] ang_vel_b=[-0.14746670424938202, 0.1717134714126587, 0.02263016626238823] mean_base_height=0.1107
[JOINT_STATE step=250000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.365706205368042, 0.557736873626709, 0.08773810416460037, -0.7335184216499329, 0.15737630426883698, 0.7512261271476746, 1.187003493309021, 0.3505825698375702, 1.4908456802368164, -1.1004835367202759, 0.7269344925880432, -1.3899224996566772, 2.6179797649383545, 1.6020019054412842, 2.8692049980163574, -0.990157425403595, -1.0685679912567139, -1.262981653213501] lin_vel_b=[0.08261469751596451, 0.09399939328432083, 0.012453017756342888] ang_vel_b=[-0.0969199389219284, -0.02421555109322071, -0.05194740369915962] mean_base_height=0.0905
[JOINT_STATE step=300000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.3808968961238861, 0.5579760670661926, -0.08085694164037704, -0.6785907745361328, 0.1365935504436493, 0.5449773669242859, 1.3671212196350098, 0.41379478573799133, 1.4410079717636108, -0.9940922856330872, 0.719943106174469, -1.0950102806091309, 2.778636932373047, 1.7118133306503296, 2.8430843353271484, -0.9382408857345581, -0.9246045351028442, -0.8995561003684998] lin_vel_b=[0.10562221705913544, 0.06912364810705185, 0.048085909336805344] ang_vel_b=[-0.2875399589538574, -0.049014654010534286, -0.1773880422115326] mean_base_height=0.0928
[JOINT_STATE step=350000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.38863134384155273, 0.5394340753555298, -0.13169042766094208, -0.5524309277534485, -0.06363064795732498, 0.08356723189353943, 1.3428319692611694, 0.39372995495796204, 1.4795821905136108, -0.9267367124557495, 1.2113574743270874, -0.2622983753681183, 2.7838785648345947, 1.738072395324707, 2.9116172790527344, -1.0255959033966064, -0.5990728139877319, 0.24441491067409515] lin_vel_b=[0.12905722856521606, -0.07514898478984833, 0.042907800525426865] ang_vel_b=[-0.14392992854118347, 0.09527812898159027, -0.3509811758995056] mean_base_height=0.0927
[JOINT_STATE step=400000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.30605238676071167, 0.5748599171638489, 0.25987616181373596, -0.632667064666748, -0.40081915259361267, 0.3290197551250458, 1.3844081163406372, 0.3527672290802002, 1.3380481004714966, -1.1039745807647705, 0.7559756636619568, -0.5591680407524109, 2.7512640953063965, 1.6384094953536987, 2.712576389312744, -1.1232088804244995, -0.9205074906349182, -0.14643247425556183] lin_vel_b=[0.2274777591228485, 0.13475562632083893, 0.02704896405339241] ang_vel_b=[0.05542726814746857, -0.21357031166553497, -0.24034638702869415] mean_base_height=0.0897
[JOINT_STATE step=450000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[-0.10848484933376312, 0.31767532229423523, 0.13848040997982025, -0.6142259240150452, 0.046615686267614365, -0.15565946698188782, 1.411359429359436, 0.15697525441646576, 1.4645010232925415, -1.0222728252410889, 0.8406962156295776, -0.08191593736410141, 2.7960150241851807, 1.39959716796875, 2.8515896797180176, -0.9951668977737427, -0.900056779384613, 0.6335306763648987] lin_vel_b=[0.1508718729019165, 0.026311684399843216, 0.05571654438972473] ang_vel_b=[-0.22786836326122284, -0.037090279161930084, 0.008322849869728088] mean_base_height=0.0908
[JOINT_STATE step=1000000] names=['j_c1_lf', 'j_c1_lm', 'j_c1_lr', 'j_c1_rf', 'j_c1_rm', 'j_c1_rr', 'j_thigh_lf', 'j_thigh_lm', 'j_thigh_lr', 'j_thigh_rf', 'j_thigh_rm', 'j_thigh_rr', 'j_tibia_lf', 'j_tibia_lm', 'j_tibia_lr', 'j_tibia_rf', 'j_tibia_rm', 'j_tibia_rr'] pos=[0.2544097304344177, -0.07163488864898682, -0.04933689162135124, 0.012671055272221565, 0.010135657154023647, -0.04035325348377228, 0.590225875377655, 0.5809929966926575, 0.43116211891174316, 0.5137244462966919, 0.6037739515304565, 0.5092545747756958, 0.4624817967414856, 0.49091824889183044, 0.7063906192779541, 0.31836235523223877, 0.47281190752983093, 0.5281126499176025] lin_vel_b=[0.0, 0.0, 0.0] ang_vel_b=[0.0, 0.0, 0.0] mean_base_height=0.2835
